Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2018,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2018
Bolaang Mongondow Timur,69.09,65.35,65.53,72.99,69.23,69.43
Kota Manado,69.09,69.34,69.53,72.99,73.23,73.41
Kota Bitung,69.09,68.52,68.71,72.99,72.45,72.63
Kota Tomohon,69.09,69.18,69.43,72.99,73.08,73.33
Kota Kotamobagu,69.09,67.69,67.93,72.99,71.58,71.84
SULAWESI TENGAH,65.39,65.4,65.86,69.28,69.29,69.75
Banggai Kepulauan,65.39,62.56,63.15,69.28,66.39,66.98
Banggai,65.39,67.99,68.29,69.28,71.93,72.23
Morowali,65.39,66.13,66.51,69.28,70,70.38
Poso,65.39,68.14,68.49,69.28,72.07,72.41
Donggala,65.39,63.9,64.37,69.28,67.77,68.26
Toli-Toli,65.39,62.15,62.73,69.28,65.97,66.56
Buol,65.39,64.98,65.56,69.28,68.9,69.49
Parigi Moutong,65.39,61.35,61.73,69.28,65.03,65.41
Tojo Una-Una,65.39,62.11,62.64,69.28,65.92,66.46
Sigi,65.39,66.72,67.15,69.28,70.64,71.07
Banggai Laut,65.39,61.67,62.26,69.28,65.46,66.05
Morowali Utara,65.39,66.4,66.83,69.28,70.26,70.69
Kota Palu,65.39,67.97,68.35,69.28,71.84,72.22
SULAWESI SELATAN,67.94,67.96,68.2,71.84,71.86,72.1
Kepulauan Selayar,67.94,65.78,65.98,71.84,69.74,69.96
Bulukumba,67.94,64.94,65.24,71.84,68.86,69.17
Bantaeng,67.94,67.94,68.15,71.84,71.81,72.02
Jeneponto,67.94,63.66,63.9,71.84,67.52,67.76
Takalar,67.94,64.37,64.62,71.84,68.27,68.53
Gowa,67.94,67.92,68.07,71.84,71.86,72.03
Sinjai,67.94,64.6,64.8,71.84,68.5,68.74
Maros,67.94,66.71,66.91,71.84,70.52,70.61
Pangkajene dan Kepulauan,67.94,63.87,64.12,71.84,67.74,68
Barru,67.94,66.26,66.56,71.84,70.22,70.51
Bone,67.94,64.22,64.5,71.84,68.11,68.4
Soppeng,67.94,66.68,66.88,71.84,70.64,71
Wajo,67.94,64.52,64.79,71.84,68.42,68.69
Sidenreng Rappang,67.94,66.78,67.11,71.84,70.74,71.06
Pinrang,67.94,66.64,66.88,71.84,70.6,70.96
Enrekang,67.94,68.36,68.53,71.84,72.29,72.46
Luwu,67.94,67.57,67.81,71.84,71.52,71.76
Tana Toraja,67.94,70.59,70.83,71.84,74.42,74.66
Luwu Utara,67.94,65.58,65.87,71.84,69.53,69.82
Luwu Timur,67.94,67.76,68.01,71.84,71.7,71.93
Toraja Utara,67.94,70.98,71.14,71.84,74.79,74.93
Kota Makasar,67.94,69.51,69.7,71.84,73.39,73.58
Kota Parepare,67.94,68.67,68.86,71.84,72.6,72.79
Kota Palopo,67.94,68.28,68.46,71.84,72.21,72.41
SULAWESI TENGGARA,68.54,68.57,68.83,72.47,72.47,72.71
Buton,68.54,65.27,65.56,72.47,69.21,69.52
Muna,68.54,67.8,68,72.47,71.68,71.88
Konawe,68.54,67.48,67.7,72.47,71.43,71.69
Kolaka,68.54,68.02,68.35,72.47,71.96,72.29
Konawe Selatan,68.54,67.95,68.21,72.47,71.89,72.15
Bombana,68.54,65.78,66.13,72.47,69.74,70.1
Wakatobi,68.54,67.56,67.82,72.47,71.51,71.77
Kolaka Utara,68.54,67.71,67.91,72.47,71.65,71.85
Buton Utara,68.54,68.39,68.57,72.47,72.29,72.47
Konawe Utara,68.54,66.71,66.97,72.47,70.61,70.87
Kolaka Timur,68.54,69.67,70,72.47,73.54,73.86
Konawe Kepulauan,68.54,65.94,66.12,72.47,69.8,69.98
Muna Barat,68.54,67.8,67.98,72.47,71.68,71.86
Buton Tengah,68.54,65.24,65.4,72.47,69.07,69.23
Buton Selatan,68.54,65.24,65.4,72.47,69.07,69.23
Kota Kendari,68.54,71.06,71.3,72.47,74.92,75.16
Kota Baubau,68.54,68.48,68.7,72.47,72.41,72.63
GORONTALO,65.22,65.22,65.51,69.16,69.2,69.53
Boalemo,65.22,65.82,66.2,69.16,69.78,70.17
Gorontalo,65.22,64.78,65.07,69.16,68.59,68.88
Pohuwato,65.22,60.92,61.3,69.16,64.69,65.08
Bone Bolango,65.22,65.74,65.98,69.16,69.63,69.87
Gorontalo Utara,65.22,63.14,63.36,69.16,66.99,67.25
Kota Gorontalo,65.22,69.79,70.02,69.16,73.66,73.89
SULAWESI BARAT,62.49,62.52,62.76,66.2,66.23,66.47
Majene,62.49,58.9,59.15,66.2,62.57,62.84
Polewali Mandar,62.49,59.85,60.06,66.2,63.56,63.77
Mamasa,62.49,68.46,68.61,66.2,72.39,72.53
Mamuju,62.49,64.64,64.93,66.2,68.54,68.83
Mamuju Utara / Pasangkayu,62.49,63.35,63.62,66.2,67.2,67.51
Mamuju Tengah,62.49,65.49,65.76,66.2,69.43,69.7
MALUKU,63.44,63.49,63.68,67.34,67.39,67.58
Maluku Tenggara Barat / Kepulauan Tanimbar,63.44,61.12,61.25,67.34,64.89,65.02
Maluku Tenggara,63.44,62.64,62.8,67.34,66.47,66.64
Maluku Tengah,63.44,64.07,64.2,67.34,67.95,68.08
Buru,63.44,64.04,64.17,67.34,67.92,68.05
Kepulauan Aru,63.44,60.42,60.6,67.34,64.16,64.34
Seram Bagian Barat,63.44,59.06,59.29,67.34,62.74,62.99
Seram Bagian Timur,63.44,56.73,57,67.34,60.29,60.58
Maluku Barat Daya,63.44,59.71,59.95,67.34,63.42,63.67
Buru Selatan,63.44,63.75,63.93,67.34,67.61,67.79
Kota Ambon,63.44,67.89,68.09,67.34,71.83,72.03
Kota Tual,63.44,62.64,62.91,67.34,66.47,66.75
