Kabupaten/Kota,Tahun,Indeks Pembangunan Manusia
Bulungan,2024,73.34
Bungo,2018,69.42
Bungo,2019,69.86
Bungo,2020,69.92
Bungo,2021,70.15
Bungo,2022,70.55
Bungo,2023,71.06
Bungo,2024,71.92
Buol,2018,67.3
Buol,2019,67.69
Buol,2020,67.82
Buol,2021,68.25
Buol,2022,68.72
Buol,2023,69.57
Buol,2024,70.28
Buru,2018,68.25
Buru,2019,68.91
Buru,2020,68.95
Buru,2021,69.33
Buru,2022,69.94
Buru,2023,70.56
Buru,2024,71.01
Buru Selatan,2018,63.62
Buru Selatan,2019,64.42
Buru Selatan,2020,64.69
Buru Selatan,2021,64.8
Buru Selatan,2022,65.37
Buru Selatan,2023,66.23
Buru Selatan,2024,67.09
Buton,2018,65.08
Buton,2019,65.67
Buton,2020,65.98
Buton,2021,66.32
Buton,2022,67.23
Buton,2023,68.12
Buton,2024,68.88
Buton Selatan,2018,63.47
Buton Selatan,2019,64.37
Buton Selatan,2020,64.93
Buton Selatan,2021,64.99
Buton Selatan,2022,65.44
Buton Selatan,2023,66.15
Buton Selatan,2024,67.0
Buton Tengah,2018,63.46
Buton Tengah,2019,64.06
Buton Tengah,2020,64.37
Buton Tengah,2021,64.55
Buton Tengah,2022,65.29
Buton Tengah,2023,65.83
Buton Tengah,2024,66.47
Buton Utara,2018,67.13
Buton Utara,2019,67.68
Buton Utara,2020,67.87
Buton Utara,2021,68.08
Buton Utara,2022,69.0
Buton Utara,2023,69.7
Buton Utara,2024,70.6
Ciamis,2018,69.63
Ciamis,2019,70.39
Ciamis,2020,70.49
Ciamis,2021,70.93
Ciamis,2022,71.45
Ciamis,2023,72.05
Ciamis,2024,72.56
Cianjur,2018,64.62
Cianjur,2019,65.38
Cianjur,2020,65.36
Cianjur,2021,65.56
Cianjur,2022,65.94
Cianjur,2023,66.55
Cianjur,2024,67.24
Cilacap,2018,69.56
Cilacap,2019,69.98
Cilacap,2020,69.95
Cilacap,2021,70.42
Cilacap,2022,70.99
Cilacap,2023,71.83
Cilacap,2024,72.38
Cirebon,2018,68.05
Cirebon,2019,68.69
Cirebon,2020,68.75
Cirebon,2021,69.12
Cirebon,2022,70.06
Cirebon,2023,70.95
Cirebon,2024,71.44
Dairi,2018,70.89
Dairi,2019,71.42
Dairi,2020,71.57
Dairi,2021,71.84
Dairi,2022,72.56
Dairi,2023,73.27
Dairi,2024,73.92
Deiyai,2018,49.55
Deiyai,2019,50.11
Deiyai,2020,49.46
Deiyai,2021,49.96
Deiyai,2022,50.42
Deiyai,2023,51.18
Deiyai,2024,52.07
Deli Serdang,2018,74.92
Deli Serdang,2019,75.43
Deli Serdang,2020,75.44
Deli Serdang,2021,75.53
Deli Serdang,2022,76.19
Deli Serdang,2023,76.52
Deli Serdang,2024,76.92
Demak,2018,71.26
Demak,2019,71.87
Demak,2020,72.22
Demak,2021,72.57
Demak,2022,73.36
Demak,2023,74.07
Demak,2024,74.57
Dharmasraya,2018,70.86
Dharmasraya,2019,71.52
Dharmasraya,2020,71.51
Dharmasraya,2021,71.76
Dharmasraya,2022,72.3
Dharmasraya,2023,73.04
Dharmasraya,2024,74.06
Dogiyai,2018,54.44
Dogiyai,2019,55.41
Dogiyai,2020,54.84
Dogiyai,2021,55.0
Dogiyai,2022,55.72
Dogiyai,2023,56.7
Dogiyai,2024,57.68
Dompu,2018,66.97
Dompu,2019,67.83
Dompu,2020,67.84
Dompu,2021,68.45
Dompu,2022,69.15
Dompu,2023,69.98
Dompu,2024,70.78
Donggala,2018,65.14
Donggala,2019,65.49
Donggala,2020,65.56
Donggala,2021,65.72
Donggala,2022,66.25
Donggala,2023,66.95
Donggala,2024,67.45
Empat Lawang,2018,64.81
Empat Lawang,2019,65.1
Empat Lawang,2020,65.25
Empat Lawang,2021,65.39
Empat Lawang,2022,66.0
Empat Lawang,2023,66.68
Empat Lawang,2024,67.25
Ende,2018,66.62
Ende,2019,67.2
Ende,2020,67.04
Ende,2021,67.3
Ende,2022,67.97
Ende,2023,68.63
Ende,2024,69.11
Enrekang,2018,72.15
Enrekang,2019,72.66
Enrekang,2020,72.76
Enrekang,2021,72.91
Enrekang,2022,73.39
Enrekang,2023,73.89
Enrekang,2024,74.61
Fakfak,2018,66.99
Fakfak,2019,67.87
Fakfak,2020,68.36
Fakfak,2021,68.52
Fakfak,2022,69.12
Fakfak,2023,69.72
Fakfak,2024,70.39
Flores Timur,2018,63.55
Flores Timur,2019,64.34
Flores Timur,2020,64.22
Flores Timur,2021,64.22
Flores Timur,2022,64.93
Flores Timur,2023,65.79
Flores Timur,2024,66.29
Garut,2018,65.42
Garut,2019,66.22
Garut,2020,66.12
Garut,2021,66.45
Garut,2022,67.41
Garut,2023,68.11
Garut,2024,68.79
Gayo Lues,2018,65.88
Gayo Lues,2019,66.87
Gayo Lues,2020,67.22
Gayo Lues,2021,67.56
Gayo Lues,2022,68.25
Gayo Lues,2023,68.93
Gayo Lues,2024,69.83
Gianyar,2018,76.71
Gianyar,2019,77.14
Gianyar,2020,77.36
Gianyar,2021,77.7
Gianyar,2022,78.39
Gianyar,2023,79.24
Gianyar,2024,79.82
Gorontalo,2018,65.78
Gorontalo,2019,66.69
Gorontalo,2020,66.92
Gorontalo,2021,67.34
Gorontalo,2022,68.28
Gorontalo,2023,69.09
Gorontalo,2024,69.66
Gorontalo Utara,2018,64.06
Gorontalo Utara,2019,64.52
Gorontalo Utara,2020,64.86
Gorontalo Utara,2021,65.21
Gorontalo Utara,2022,66.01
Gorontalo Utara,2023,66.61
Gorontalo Utara,2024,67.46
Gowa,2018,68.87
Gowa,2019,69.66
Gowa,2020,70.14
Gowa,2021,70.29
Gowa,2022,70.99
Gowa,2023,71.57
Gowa,2024,72.26
Gresik,2018,75.28
Gresik,2019,76.1
Gresik,2020,76.11
Gresik,2021,76.5
Gresik,2022,77.16
Gresik,2023,77.98
Gresik,2024,78.45
Grobogan,2018,69.32
Grobogan,2019,69.86
Grobogan,2020,69.87
Grobogan,2021,70.41
Grobogan,2022,70.97
Grobogan,2023,71.49
Grobogan,2024,72.02
Gunung Kidul,2018,69.24
Gunung Kidul,2019,69.96
Gunung Kidul,2020,69.98
Gunung Kidul,2021,70.16
Gunung Kidul,2022,70.96
Gunung Kidul,2023,71.24
Gunung Kidul,2024,71.89
Gunung Mas,2018,70.23
Gunung Mas,2019,70.65
Gunung Mas,2020,70.81
Gunung Mas,2021,71.03
Gunung Mas,2022,71.4
Gunung Mas,2023,72.09
Gunung Mas,2024,72.73
Halmahera Barat,2018,64.54
Halmahera Barat,2019,65.34
Halmahera Barat,2020,65.31
Halmahera Barat,2021,65.56
Halmahera Barat,2022,66.2
Halmahera Barat,2023,66.91
Halmahera Barat,2024,67.53
Halmahera Selatan,2018,63.39
Halmahera Selatan,2019,64.11
Halmahera Selatan,2020,63.84
Halmahera Selatan,2021,64.19
Halmahera Selatan,2022,65.06
Halmahera Selatan,2023,65.83
Halmahera Selatan,2024,66.66
Halmahera Tengah,2018,64.66
Halmahera Tengah,2019,65.55
Halmahera Tengah,2020,65.42
Halmahera Tengah,2021,65.82
Halmahera Tengah,2022,66.49
Halmahera Tengah,2023,67.48
Halmahera Tengah,2024,68.45
Halmahera Timur,2018,66.2
Halmahera Timur,2019,66.74
Halmahera Timur,2020,66.75
Halmahera Timur,2021,67.0
Halmahera Timur,2022,67.93
Halmahera Timur,2023,68.82
Halmahera Timur,2024,69.58
Halmahera Utara,2018,67.3
Halmahera Utara,2019,67.75
Halmahera Utara,2020,67.5
Halmahera Utara,2021,67.82
Halmahera Utara,2022,68.38
Halmahera Utara,2023,69.05
Halmahera Utara,2024,69.78
Hulu Sungai Selatan,2018,68.41
Hulu Sungai Selatan,2019,68.8
Hulu Sungai Selatan,2020,68.85
Hulu Sungai Selatan,2021,69.21
Hulu Sungai Selatan,2022,69.76
Hulu Sungai Selatan,2023,70.5
Hulu Sungai Selatan,2024,71.21
Hulu Sungai Tengah,2018,68.32
Hulu Sungai Tengah,2019,68.8
Hulu Sungai Tengah,2020,68.84
Hulu Sungai Tengah,2021,69.05
Hulu Sungai Tengah,2022,69.7
Hulu Sungai Tengah,2023,70.13
Hulu Sungai Tengah,2024,70.69
Hulu Sungai Utara,2018,65.06
Hulu Sungai Utara,2019,65.49
Hulu Sungai Utara,2020,65.59
Hulu Sungai Utara,2021,66.12
Hulu Sungai Utara,2022,66.84
Hulu Sungai Utara,2023,67.66
Hulu Sungai Utara,2024,68.28
Humbang Hasundutan,2018,67.96
Humbang Hasundutan,2019,68.83
Humbang Hasundutan,2020,68.87
Humbang Hasundutan,2021,69.41
Humbang Hasundutan,2022,70.32
Humbang Hasundutan,2023,70.75
Humbang Hasundutan,2024,71.59
Indragiri Hilir,2018,66.51
Indragiri Hilir,2019,66.84
Indragiri Hilir,2020,66.54
Indragiri Hilir,2021,66.63
Indragiri Hilir,2022,67.37
Indragiri Hilir,2023,67.98
Indragiri Hilir,2024,68.38
Indragiri Hulu,2018,69.66
Indragiri Hulu,2019,70.05
Indragiri Hulu,2020,69.83
Indragiri Hulu,2021,70.01
Indragiri Hulu,2022,70.46
Indragiri Hulu,2023,71.04
Indragiri Hulu,2024,71.48
Indramayu,2018,66.36
Indramayu,2019,66.97
Indramayu,2020,67.29
Indramayu,2021,67.64
Indramayu,2022,68.55
Indramayu,2023,69.25
Indramayu,2024,69.83
Intan Jaya,2018,46.55
Intan Jaya,2019,47.51
Intan Jaya,2020,47.79
Intan Jaya,2021,48.34
Intan Jaya,2022,49.25
Intan Jaya,2023,50.19
Intan Jaya,2024,50.71
Jayapura,2018,71.25
Jayapura,2019,71.84
Jayapura,2020,71.69
Jayapura,2021,72.03
Jayapura,2022,72.67
Jayapura,2023,73.5
Jayapura,2024,74.11
Jayawijaya,2018,56.82
Jayawijaya,2019,57.79
Jayawijaya,2020,58.03
Jayawijaya,2021,58.67
Jayawijaya,2022,59.6
Jayawijaya,2023,60.5
Jayawijaya,2024,61.03
Jember,2018,65.96
Jember,2019,66.69
Jember,2020,67.11
Jember,2021,67.32
Jember,2022,67.97
Jember,2023,68.64
Jember,2024,69.15
Jembrana,2018,71.65
Jembrana,2019,72.35
Jembrana,2020,72.36
Jembrana,2021,72.75
Jembrana,2022,73.58
Jembrana,2023,74.04
Jembrana,2024,74.6
Jeneponto,2018,63.33
Jeneponto,2019,64.0
Jeneponto,2020,64.26
Jeneponto,2021,64.56
Jeneponto,2022,65.13
Jeneponto,2023,65.9
Jeneponto,2024,66.38
Jepara,2018,71.38
Jepara,2019,71.88
Jepara,2020,71.99
Jepara,2021,72.36
Jepara,2022,73.15
Jepara,2023,73.85
Jepara,2024,74.32
Jombang,2018,71.86
Jombang,2019,72.85
Jombang,2020,72.97
Jombang,2021,73.45
Jombang,2022,74.05
Jombang,2023,74.6
Jombang,2024,75.1
Kaimana,2018,63.67
Kaimana,2019,64.59
Kaimana,2020,65.0
Kaimana,2021,65.31
Kaimana,2022,66.11
Kaimana,2023,66.72
Kaimana,2024,67.6
Kampar,2018,72.5
Kampar,2019,73.15
Kampar,2020,72.83
Kampar,2021,73.02
Kampar,2022,73.84
Kampar,2023,74.24
Kampar,2024,74.85
Kapuas,2018,68.68
Kapuas,2019,69.38
Kapuas,2020,69.48
Kapuas,2021,69.63
Kapuas,2022,70.01
Kapuas,2023,70.75
Kapuas,2024,71.32
Kapuas Hulu,2018,65.03
Kapuas Hulu,2019,65.65
Kapuas Hulu,2020,65.69
Kapuas Hulu,2021,65.75
Kapuas Hulu,2022,66.7
Kapuas Hulu,2023,67.67
Kapuas Hulu,2024,68.58
Karanganyar,2018,75.54
Karanganyar,2019,75.89
Karanganyar,2020,75.86
Karanganyar,2021,75.99
Karanganyar,2022,76.58
Karanganyar,2023,77.31
Karanganyar,2024,78.11
Karangasem,2018,66.49
Karangasem,2019,67.34
Karangasem,2020,67.35
Karangasem,2021,67.36
Karangasem,2022,68.28
Karangasem,2023,68.91
Karangasem,2024,69.74
Karawang,2018,69.89
Karawang,2019,70.86
Karawang,2020,70.66
Karawang,2021,70.94
Karawang,2022,71.74
Karawang,2023,72.35
Karawang,2024,72.9
Karimun,2018,70.56
Karimun,2019,71.1
Karimun,2020,71.44
Karimun,2021,71.7
Karimun,2022,72.65
Karimun,2023,73.51
Karimun,2024,74.28
Karo,2018,73.91
Karo,2019,74.25
Karo,2020,74.43
Karo,2021,74.83
Karo,2022,75.36
