Kabupaten/Kota,Tahun,Pengeluaran Perkapita Daging
Buton,2018,248.26
Buton,2019,908.89
Buton,2020,943.64
Buton,2021,1354.58
Buton,2022,1654.57
Buton,2023,701.41
Buton,2024,2385.0
Buton Selatan,2018,369.02
Buton Selatan,2019,369.02
Buton Selatan,2020,910.64
Buton Selatan,2021,913.35
Buton Selatan,2022,637.83
Buton Selatan,2023,452.65
Buton Selatan,2024,1260.0
Buton Tengah,2018,1498.0
Buton Tengah,2019,894.29
Buton Tengah,2020,106.69
Buton Tengah,2021,546.33
Buton Tengah,2022,1705.29
Buton Tengah,2023,1110.95
Buton Tengah,2024,1277.0
Buton Utara,2018,690.17
Buton Utara,2019,1113.78
Buton Utara,2020,2340.71
Buton Utara,2021,1850.15
Buton Utara,2022,1447.93
Buton Utara,2023,847.05
Buton Utara,2024,2240.0
Ciamis,2018,5487.52
Ciamis,2019,5293.84
Ciamis,2020,5381.22
Ciamis,2021,5897.94
Ciamis,2022,7670.38
Ciamis,2023,7544.97
Ciamis,2024,8289.0
Cianjur,2018,5111.45
Cianjur,2019,5035.07
Cianjur,2020,6250.64
Cianjur,2021,7609.67
Cianjur,2022,6107.47
Cianjur,2023,7022.78
Cianjur,2024,8143.0
Cilacap,2018,3924.86
Cilacap,2019,4011.8
Cilacap,2020,3840.15
Cilacap,2021,4678.94
Cilacap,2022,5327.01
Cilacap,2023,5531.17
Cilacap,2024,5854.0
Cirebon,2018,3310.0
Cirebon,2019,3945.42
Cirebon,2020,4976.37
Cirebon,2021,5168.58
Cirebon,2022,6483.98
Cirebon,2023,5685.8
Cirebon,2024,6840.0
Dairi,2018,6800.72
Dairi,2019,7255.04
Dairi,2020,7301.91
Dairi,2021,7342.01
Dairi,2022,7517.09
Dairi,2023,7789.8
Dairi,2024,8292.0
Deiyai,2018,6868.25
Deiyai,2019,7114.09
Deiyai,2020,15825.38
Deiyai,2021,11900.88
Deiyai,2022,18308.91
Deiyai,2023,30467.82
Deiyai,2024,29196.0
Deli Serdang,2018,4559.51
Deli Serdang,2019,5342.24
Deli Serdang,2020,5459.06
Deli Serdang,2021,5647.69
Deli Serdang,2022,8150.26
Deli Serdang,2023,6625.43
Deli Serdang,2024,6785.0
Demak,2018,3591.04
Demak,2019,4798.66
Demak,2020,4615.1
Demak,2021,5320.91
Demak,2022,6638.06
Demak,2023,6848.7
Demak,2024,5251.0
Dharmasraya,2018,6205.17
Dharmasraya,2019,7411.88
Dharmasraya,2020,6306.14
Dharmasraya,2021,6910.78
Dharmasraya,2022,6867.34
Dharmasraya,2023,6878.69
Dharmasraya,2024,7183.0
Dogiyai,2018,17776.28
Dogiyai,2019,13503.04
Dogiyai,2020,16632.82
Dogiyai,2021,15665.63
Dogiyai,2022,14824.86
Dogiyai,2023,25087.34
Dogiyai,2024,20490.0
Dompu,2018,2632.4
Dompu,2019,3118.05
Dompu,2020,4396.84
Dompu,2021,5078.87
Dompu,2022,6578.23
Dompu,2023,4899.79
Dompu,2024,6692.0
Donggala,2018,1098.16
Donggala,2019,1502.97
Donggala,2020,1763.15
Donggala,2021,1697.63
Donggala,2022,1863.2
Donggala,2023,1485.99
Donggala,2024,3811.0
Empat Lawang,2018,3084.51
Empat Lawang,2019,2592.52
Empat Lawang,2020,2853.74
Empat Lawang,2021,3397.15
Empat Lawang,2022,4500.99
Empat Lawang,2023,5610.08
Empat Lawang,2024,5176.0
Ende,2018,2901.74
Ende,2019,2718.37
Ende,2020,3352.33
Ende,2021,3745.7
Ende,2022,5161.92
Ende,2023,4020.33
Ende,2024,4665.0
Enrekang,2018,2730.42
Enrekang,2019,1630.27
Enrekang,2020,3189.13
Enrekang,2021,3402.9
Enrekang,2022,2890.12
Enrekang,2023,4250.44
Enrekang,2024,4317.0
Fakfak,2018,2336.78
Fakfak,2019,3532.86
Fakfak,2020,5657.8
Fakfak,2021,5576.73
Fakfak,2022,6041.46
Fakfak,2023,3851.64
Fakfak,2024,5615.0
Flores Timur,2018,1458.82
Flores Timur,2019,3148.98
Flores Timur,2020,2174.01
Flores Timur,2021,2255.16
Flores Timur,2022,3097.57
Flores Timur,2023,2505.32
Flores Timur,2024,1925.0
Garut,2018,5800.65
Garut,2019,5370.96
Garut,2020,6475.44
Garut,2021,6136.67
Garut,2022,7294.01
Garut,2023,6934.11
Garut,2024,7674.0
Gayo Lues,2018,8041.39
Gayo Lues,2019,10866.68
Gayo Lues,2020,8552.15
Gayo Lues,2021,14284.47
Gayo Lues,2022,13301.81
Gayo Lues,2023,9659.93
Gayo Lues,2024,9550.0
Gianyar,2018,5519.83
Gianyar,2019,9872.66
Gianyar,2020,12367.68
Gianyar,2021,11680.19
Gianyar,2022,8978.44
Gianyar,2023,10367.54
Gianyar,2024,19824.0
Gorontalo,2018,2383.59
Gorontalo,2019,2716.49
Gorontalo,2020,1982.97
Gorontalo,2021,3300.21
Gorontalo,2022,3422.48
Gorontalo,2023,3366.85
Gorontalo,2024,3158.0
Gorontalo Utara,2018,1242.56
Gorontalo Utara,2019,1319.02
Gorontalo Utara,2020,1869.76
Gorontalo Utara,2021,2404.74
Gorontalo Utara,2022,2841.81
Gorontalo Utara,2023,3473.82
Gorontalo Utara,2024,2878.0
Gowa,2018,2325.75
Gowa,2019,2664.02
Gowa,2020,3402.54
Gowa,2021,3513.41
Gowa,2022,3321.51
Gowa,2023,3921.76
Gowa,2024,4558.0
Gresik,2018,6518.01
Gresik,2019,6931.29
Gresik,2020,6403.09
Gresik,2021,8469.48
Gresik,2022,8781.35
Gresik,2023,9496.17
Gresik,2024,10514.0
Grobogan,2018,3269.58
Grobogan,2019,3286.57
Grobogan,2020,3311.09
Grobogan,2021,3234.51
Grobogan,2022,4356.6
Grobogan,2023,4307.7
Grobogan,2024,5617.0
Gunung Kidul,2018,4382.87
Gunung Kidul,2019,4196.43
Gunung Kidul,2020,5519.58
Gunung Kidul,2021,6739.33
Gunung Kidul,2022,6307.13
Gunung Kidul,2023,5712.55
Gunung Kidul,2024,6335.0
Gunung Mas,2018,11412.25
Gunung Mas,2019,13815.27
Gunung Mas,2020,14964.36
Gunung Mas,2021,13132.01
Gunung Mas,2022,14770.62
Gunung Mas,2023,15486.82
Gunung Mas,2024,18481.0
Halmahera Barat,2018,1387.37
Halmahera Barat,2019,1682.62
Halmahera Barat,2020,1599.95
Halmahera Barat,2021,2418.1
Halmahera Barat,2022,1754.12
Halmahera Barat,2023,2921.61
Halmahera Barat,2024,3103.0
Halmahera Selatan,2018,396.39
Halmahera Selatan,2019,824.62
Halmahera Selatan,2020,671.38
Halmahera Selatan,2021,932.79
Halmahera Selatan,2022,1605.23
Halmahera Selatan,2023,919.25
Halmahera Selatan,2024,1704.0
Halmahera Tengah,2018,1210.81
Halmahera Tengah,2019,1987.36
Halmahera Tengah,2020,2902.69
Halmahera Tengah,2021,1604.32
Halmahera Tengah,2022,1485.95
Halmahera Tengah,2023,2320.24
Halmahera Tengah,2024,4576.0
Halmahera Timur,2018,2262.41
Halmahera Timur,2019,2494.38
Halmahera Timur,2020,1956.54
Halmahera Timur,2021,2666.38
Halmahera Timur,2022,3166.26
Halmahera Timur,2023,2376.37
Halmahera Timur,2024,4054.0
Halmahera Utara,2018,2811.57
Halmahera Utara,2019,2100.27
Halmahera Utara,2020,2218.24
Halmahera Utara,2021,3292.06
Halmahera Utara,2022,5350.64
Halmahera Utara,2023,3274.58
Halmahera Utara,2024,3113.0
Hulu Sungai Selatan,2018,2790.55
Hulu Sungai Selatan,2019,2740.91
Hulu Sungai Selatan,2020,3663.06
Hulu Sungai Selatan,2021,3965.89
Hulu Sungai Selatan,2022,3972.2
Hulu Sungai Selatan,2023,3723.83
Hulu Sungai Selatan,2024,4025.0
Hulu Sungai Tengah,2018,2104.83
Hulu Sungai Tengah,2019,3112.42
Hulu Sungai Tengah,2020,2467.88
Hulu Sungai Tengah,2021,3855.26
Hulu Sungai Tengah,2022,3664.39
Hulu Sungai Tengah,2023,5493.14
Hulu Sungai Tengah,2024,4937.0
Hulu Sungai Utara,2018,2826.68
Hulu Sungai Utara,2019,2371.28
Hulu Sungai Utara,2020,2376.92
Hulu Sungai Utara,2021,3173.42
Hulu Sungai Utara,2022,4470.88
Hulu Sungai Utara,2023,3819.97
Hulu Sungai Utara,2024,5061.0
Humbang Hasundutan,2018,4854.88
Humbang Hasundutan,2019,4953.33
Humbang Hasundutan,2020,4539.42
Humbang Hasundutan,2021,5361.07
Humbang Hasundutan,2022,6785.66
Humbang Hasundutan,2023,6663.63
Humbang Hasundutan,2024,8713.0
Indragiri Hilir,2018,4239.26
Indragiri Hilir,2019,3866.19
Indragiri Hilir,2020,4724.0
Indragiri Hilir,2021,4507.34
Indragiri Hilir,2022,5862.26
Indragiri Hilir,2023,5462.52
Indragiri Hilir,2024,6162.0
Indragiri Hulu,2018,5323.82
Indragiri Hulu,2019,5581.33
Indragiri Hulu,2020,5179.03
Indragiri Hulu,2021,6743.64
Indragiri Hulu,2022,6553.16
Indragiri Hulu,2023,7876.06
Indragiri Hulu,2024,7069.0
Indramayu,2018,3618.41
Indramayu,2019,4071.11
Indramayu,2020,5216.55
Indramayu,2021,6375.96
Indramayu,2022,6499.33
Indramayu,2023,8097.95
Indramayu,2024,8290.0
Intan Jaya,2018,25365.45
Intan Jaya,2019,16704.2
Intan Jaya,2020,18248.49
Intan Jaya,2021,20923.12
Intan Jaya,2022,30585.36
Intan Jaya,2023,58504.86
Intan Jaya,2024,38165.0
Jayapura,2018,11554.17
Jayapura,2019,7770.13
Jayapura,2020,7609.55
Jayapura,2021,8416.99
Jayapura,2022,9825.67
Jayapura,2023,15418.3
Jayapura,2024,5820.0
Jayawijaya,2018,8471.88
Jayawijaya,2019,8425.28
Jayawijaya,2020,13680.67
Jayawijaya,2021,12757.82
Jayawijaya,2022,21482.53
Jayawijaya,2023,18312.16
Jayawijaya,2024,5641.0
Jember,2018,3669.88
Jember,2019,3436.09
Jember,2020,3728.87
Jember,2021,5047.8
Jember,2022,5517.46
Jember,2023,5631.11
Jember,2024,6666.0
Jembrana,2018,5231.1
Jembrana,2019,8158.44
Jembrana,2020,11857.36
Jembrana,2021,9901.82
Jembrana,2022,6797.11
Jembrana,2023,7434.22
Jembrana,2024,13919.0
Jeneponto,2018,2478.58
Jeneponto,2019,2845.4
Jeneponto,2020,2538.79
Jeneponto,2021,3304.95
Jeneponto,2022,3613.07
Jeneponto,2023,3628.27
