Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2019,10.17,Buru Selatan
2020,10.07,Buru Selatan
2021,9.99,Buru Selatan
2022,9.35,Buru Selatan
2023,9.77,Buru Selatan
2024,9.61,Buru Selatan
2018,13.78,Buton
2019,13.97,Buton
2020,13.68,Buton
2021,14.25,Buton
2022,13.61,Buton
2023,14.15,Buton
2024,14.41,Buton
2018,11.86,Buton Selatan
2019,11.81,Buton Selatan
2020,11.5,Buton Selatan
2021,11.71,Buton Selatan
2022,11.57,Buton Selatan
2023,11.88,Buton Selatan
2024,11.5,Buton Selatan
2018,13.72,Buton Tengah
2019,14.64,Buton Tengah
2020,14.4,Buton Tengah
2021,14.73,Buton Tengah
2022,13.92,Buton Tengah
2023,14.46,Buton Tengah
2024,13.52,Buton Tengah
2018,9.38,Buton Utara
2019,9.18,Buton Utara
2020,9.13,Buton Utara
2021,9.45,Buton Utara
2022,9.13,Buton Utara
2023,9.09,Buton Utara
2024,9.18,Buton Utara
2018,85.72,Ciamis
2019,79.41,Ciamis
2020,91.39,Ciamis
2021,96.6,Ciamis
2022,93.96,Ciamis
2023,90.84,Ciamis
2024,90.79,Ciamis
2018,221.58,Cianjur
2019,207.07,Cianjur
2020,234.47,Cianjur
2021,260.02,Cianjur
2022,246.81,Cianjur
2023,240.06,Cianjur
2024,239.3,Cianjur
2018,193.18,Cilacap
2019,185.18,Cilacap
2020,198.6,Cilacap
2021,201.71,Cilacap
2022,190.96,Cilacap
2023,191.0,Cilacap
2024,186.08,Cilacap
2018,232.37,Cirebon
2019,217.64,Cirebon
2020,247.94,Cirebon
2021,271.02,Cirebon
2022,266.1,Cirebon
2023,249.18,Cirebon
2024,245.92,Cirebon
2018,23.19,Dairi
2019,21.86,Dairi
2020,22.93,Dairi
2021,23.72,Dairi
2022,22.53,Dairi
2023,21.42,Dairi
2024,20.4,Dairi
2018,31.5,Deiyai
2019,31.87,Deiyai
2020,30.98,Deiyai
2021,30.83,Deiyai
2022,31.04,Deiyai
2023,30.18,Deiyai
2024,30.85,Deiyai
2018,88.52,Deli Serdang
2019,84.94,Deli Serdang
2020,86.26,Deli Serdang
2021,92.52,Deli Serdang
2022,85.28,Deli Serdang
2023,82.75,Deli Serdang
2024,84.24,Deli Serdang
2018,144.12,Demak
2019,137.6,Demak
2020,146.87,Demak
2021,151.74,Demak
2022,143.01,Demak
2023,143.26,Demak
2024,142.92,Demak
2018,15.42,Dharmasraya
2019,15.49,Dharmasraya
2020,15.7,Dharmasraya
2021,17.6,Dharmasraya
2022,15.08,Dharmasraya
2023,15.49,Dharmasraya
2024,15.25,Dharmasraya
