Kabupaten/Kota,Tahun,Garis Kemiskinan,Indeks Pembangunan Manusia,Jumlah Penduduk Miskin,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Pengeluaran Perkapita Bahan Makanan Lainnya,Pengeluaran Perkapita Bahan Minuman,Pengeluaran Perkapita Buah-Buahan,Pengeluaran Perkapita Daging,Pengeluaran Perkapita Kacang-Kacangan,Pengeluaran Perkapita Bahan Minyak dan Kelapa,Pengeluaran Perkapita Padi-Padian,Pengeluaran Perkapita Rokok dan Tembakau,Pengeluaran Perkapita Telur dan Susu,Pengeluaran Perkapita Umbi-Umbian,Persentase Penduduk Miskin,Prevalensi Konsumsi Pangan Tidak Cukup,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Rasio Tenaga Kesehatan,Angka Harapan Hidup,Stunting (%),Kelompok IKP
Agam,2019,379304.0,72.37,33.1,0.82,0.13,1791.35,3806.43,5318.0,6067.44,1737.46,4634.44,19085.99,17274.39,6603.28,1452.12,6.75,5.49,8.88,8.82,0.38,6.76,36.56,1.25,36.07,2.86,71.83,30.04,6
Agam,2020,424728.0,72.46,33.31,0.79,0.17,1983.7,3839.7,8535.0,6405.31,1660.91,4656.18,18353.12,19582.07,7067.51,1405.45,6.75,6.5,8.89,9.05,0.38,6.75,31.96,0.95,32.28,2.1,72.17,0.0,6
Agam,2021,444711.0,72.57,34.26,0.98,0.23,2391.33,4096.96,5275.0,6276.1,1935.55,5472.18,18892.46,21260.29,7073.14,1731.18,6.85,6.77,8.9,9.06,0.4,6.75,35.05,0.86,26.07,2.01,72.37,0.0,6
Agam,2022,485222.0,73.29,31.33,0.7,0.12,2513.56,4385.77,6115.94,7739.69,2071.33,7742.62,20374.02,22519.44,7466.53,1980.0,6.22,9.05,8.92,9.07,0.45,6.85,29.02,0.37,25.1,1.89,72.53,19.1,6
Agam,2023,530290.0,73.98,33.41,0.75,0.13,2472.27,4089.26,5553.99,8066.92,2188.11,6230.73,25710.67,20295.65,7682.2,2483.06,6.6,9.86,9.09,9.33,0.51,6.22,38.72,0.69,16.68,4.29,72.89,22.0,6
Agam,2024,558963.0,74.66,34.82,0.5,0.07,2351.0,4220.0,7294.0,6791.0,2177.0,5899.0,23863.0,21985.0,7398.0,2231.0,6.83,9.24,9.13,9.34,0.52,6.6,32.01,0.64,20.57,1.95,73.23,20.1,6
Alor,2018,305853.0,60.14,44.13,3.71,0.86,1270.87,4889.99,2572.0,1478.35,1388.91,2297.09,25370.41,8389.79,3106.76,1765.19,21.63,14.98,8.32,7.4,1.37,21.67,68.73,17.59,61.68,8.9,60.47,40.2,3
Alor,2019,311560.0,61.03,44.32,4.13,1.07,1152.2,4832.87,2749.0,2138.16,1074.96,2491.1,19705.92,12846.86,3887.01,1417.32,21.59,15.54,8.56,7.68,0.96,21.63,62.3,24.37,40.82,2.61,60.8,45.51,4
Alor,2020,336402.0,61.33,43.55,2.92,0.58,882.74,5132.01,2839.0,1495.74,1053.95,2288.51,23430.14,14394.44,4684.58,1585.34,21.09,12.87,8.88,8.0,1.06,21.59,62.2,12.48,42.92,2.55,61.29,37.77,4
Alor,2021,364939.0,61.37,43.83,3.31,0.65,1081.59,4814.59,3555.0,2715.44,1370.83,2773.67,25214.39,14029.55,3746.84,2168.41,21.09,11.98,8.89,8.01,1.11,21.09,60.02,7.38,57.02,2.55,61.48,0.0,4
Alor,2022,400858.0,62.26,42.3,3.42,0.72,1414.45,4869.01,4689.99,3338.79,1822.82,3423.76,21901.07,12478.14,3760.78,1696.87,20.25,12.95,8.9,8.02,1.3,21.09,55.42,6.6,58.02,2.09,61.64,44.8,3
Alor,2023,438013.0,62.99,41.91,2.82,0.63,1240.4,5535.63,4346.09,3735.24,1393.38,3686.92,25408.16,11392.3,4097.8,2932.6,19.97,16.12,8.92,8.04,0.88,20.25,47.72,2.26,55.45,0.45,61.99,14.4,4
Alor,2024,446875.0,63.82,41.89,2.25,0.49,1432.0,4811.0,4042.0,3541.0,1368.0,2401.0,25514.0,11394.0,3248.0,2277.0,19.87,13.46,8.93,8.32,1.26,19.97,39.29,1.94,55.04,1.87,62.35,39.3,4
