Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Bombana,2024,589.0
Bondowoso,2018,557.96
Bondowoso,2019,749.08
Bondowoso,2020,738.61
Bondowoso,2021,965.05
Bondowoso,2022,900.4
Bondowoso,2023,1057.97
Bondowoso,2024,802.0
Bone,2018,530.65
Bone,2019,437.03
Bone,2020,360.78
Bone,2021,794.42
Bone,2022,780.1
Bone,2023,864.62
Bone,2024,620.0
Bone Bolango,2018,989.2
Bone Bolango,2019,1003.04
Bone Bolango,2020,1250.31
Bone Bolango,2021,1509.61
Bone Bolango,2022,1219.31
Bone Bolango,2023,1410.71
Bone Bolango,2024,1488.0
Boven Digoel,2018,9545.7
Boven Digoel,2019,10201.8
Boven Digoel,2020,6841.18
Boven Digoel,2021,8466.6
Boven Digoel,2022,7863.37
Boven Digoel,2023,8462.8
Boven Digoel,2024,3637.0
Boyolali,2018,593.78
Boyolali,2019,542.86
Boyolali,2020,788.68
Boyolali,2021,1052.11
Boyolali,2022,976.09
Boyolali,2023,1040.96
Boyolali,2024,980.0
Brebes,2018,546.32
Brebes,2019,537.1
Brebes,2020,588.78
Brebes,2021,841.49
Brebes,2022,681.74
Brebes,2023,981.55
Brebes,2024,795.0
Buleleng,2018,917.65
Buleleng,2019,1021.67
Buleleng,2020,1003.0
Buleleng,2021,1675.67
Buleleng,2022,1622.41
Buleleng,2023,1656.45
Buleleng,2024,1217.0
Bulukumba,2018,1026.92
Bulukumba,2019,782.86
Bulukumba,2020,985.99
Bulukumba,2021,1420.41
Bulukumba,2022,1732.21
Bulukumba,2023,1581.44
Bulukumba,2024,1151.0
Bulungan,2018,1191.78
Bulungan,2019,1798.66
Bulungan,2020,1690.31
Bulungan,2021,1887.95
Bulungan,2022,1657.89
Bulungan,2023,1825.87
Bulungan,2024,1486.0
Bungo,2018,1335.52
Bungo,2019,1430.22
Bungo,2020,1357.42
Bungo,2021,1739.99
Bungo,2022,1748.39
Bungo,2023,2236.03
Bungo,2024,1878.0
Buol,2018,1128.73
Buol,2019,1058.94
Buol,2020,922.19
Buol,2021,1093.01
Buol,2022,883.31
Buol,2023,1271.88
Buol,2024,1122.0
Buru,2018,2409.89
Buru,2019,3460.33
Buru,2020,2696.94
Buru,2021,2271.45
Buru,2022,2491.63
Buru,2023,2580.83
Buru,2024,2546.0
Buru Selatan,2018,4851.57
Buru Selatan,2019,4814.91
Buru Selatan,2020,5366.81
Buru Selatan,2021,6592.39
Buru Selatan,2022,5751.58
Buru Selatan,2023,5453.2
Buru Selatan,2024,6891.0
Buton,2018,719.72
Buton,2019,1112.02
Buton,2020,862.16
Buton,2021,1734.06
Buton,2022,1169.25
Buton,2023,1607.5
Buton,2024,1063.0
Buton Selatan,2018,953.99
Buton Selatan,2019,1598.46
Buton Selatan,2020,1738.42
Buton Selatan,2021,1583.57
Buton Selatan,2022,2073.26
Buton Selatan,2023,2546.72
Buton Selatan,2024,2612.0
Buton Tengah,2018,425.08
Buton Tengah,2019,513.14
Buton Tengah,2020,226.9
Buton Tengah,2021,740.42
Buton Tengah,2022,1573.34
Buton Tengah,2023,1299.39
Buton Tengah,2024,699.0
Buton Utara,2018,1089.77
Buton Utara,2019,1381.3
Buton Utara,2020,899.52
Buton Utara,2021,1513.32
Buton Utara,2022,1566.55
Buton Utara,2023,1319.31
Buton Utara,2024,904.0
Ciamis,2018,1217.6
Ciamis,2019,1424.11
Ciamis,2020,1452.77
Ciamis,2021,1526.47
Ciamis,2022,2297.32
Ciamis,2023,2259.1
Ciamis,2024,2244.0
Cianjur,2018,948.3
Cianjur,2019,1067.17
Cianjur,2020,1271.12
Cianjur,2021,1820.0
Cianjur,2022,1433.72
Cianjur,2023,1486.62
Cianjur,2024,1572.0
Cilacap,2018,588.83
Cilacap,2019,755.47
Cilacap,2020,529.22
Cilacap,2021,757.11
Cilacap,2022,925.95
Cilacap,2023,1052.1
Cilacap,2024,938.0
Cirebon,2018,479.77
Cirebon,2019,545.03
Cirebon,2020,739.58
Cirebon,2021,732.18
Cirebon,2022,1098.82
Cirebon,2023,1110.65
Cirebon,2024,952.0
Dairi,2018,1137.66
Dairi,2019,1125.32
Dairi,2020,927.62
Dairi,2021,967.96
Dairi,2022,974.96
Dairi,2023,1105.03
Dairi,2024,1169.0
Deiyai,2018,8351.96
Deiyai,2019,6777.94
Deiyai,2020,5669.8
