Kabupaten/Kota,Tahun,Pengeluaran Perkapita Telur dan Susu
Bolaang Mongondow Timur,2020,5613.8
Bolaang Mongondow Timur,2021,6449.91
Bolaang Mongondow Timur,2022,7367.72
Bolaang Mongondow Timur,2023,5007.96
Bolaang Mongondow Timur,2024,5887.0
Bolaang Mongondow Utara,2018,5572.4
Bolaang Mongondow Utara,2019,5200.42
Bolaang Mongondow Utara,2020,5510.82
Bolaang Mongondow Utara,2021,5742.49
Bolaang Mongondow Utara,2022,5669.38
Bolaang Mongondow Utara,2023,5338.23
Bolaang Mongondow Utara,2024,6837.0
Bombana,2018,4941.19
Bombana,2019,5581.0
Bombana,2020,6441.12
Bombana,2021,5372.88
Bombana,2022,6803.39
Bombana,2023,5861.51
Bombana,2024,5624.0
Bondowoso,2018,4198.22
Bondowoso,2019,3883.77
Bondowoso,2020,4805.75
Bondowoso,2021,5371.68
Bondowoso,2022,4336.07
Bondowoso,2023,5651.17
Bondowoso,2024,6050.0
Bone,2018,4062.12
Bone,2019,4830.27
Bone,2020,4950.66
Bone,2021,5235.32
Bone,2022,5264.61
Bone,2023,4425.54
Bone,2024,4825.0
Bone Bolango,2018,5220.73
Bone Bolango,2019,6593.19
Bone Bolango,2020,6489.19
Bone Bolango,2021,6870.92
Bone Bolango,2022,6883.49
Bone Bolango,2023,6372.38
Bone Bolango,2024,6209.0
Boven Digoel,2018,9760.22
Boven Digoel,2019,8780.61
Boven Digoel,2020,7638.09
Boven Digoel,2021,6776.44
Boven Digoel,2022,7636.08
Boven Digoel,2023,6029.04
Boven Digoel,2024,11846.0
Boyolali,2018,6127.79
Boyolali,2019,7105.57
Boyolali,2020,8038.11
Boyolali,2021,7484.63
Boyolali,2022,7679.42
Boyolali,2023,7461.59
Boyolali,2024,8320.0
Brebes,2018,5026.82
Brebes,2019,4876.85
Brebes,2020,5000.38
Brebes,2021,5704.57
Brebes,2022,5982.4
Brebes,2023,6846.42
Brebes,2024,6202.0
Buleleng,2018,6140.76
Buleleng,2019,5540.61
Buleleng,2020,5883.18
Buleleng,2021,5523.33
Buleleng,2022,4445.97
Buleleng,2023,5769.14
Buleleng,2024,4950.0
Bulukumba,2018,5347.77
Bulukumba,2019,4754.55
Bulukumba,2020,5088.94
Bulukumba,2021,5575.79
Bulukumba,2022,5410.82
Bulukumba,2023,5725.41
Bulukumba,2024,5601.0
Bulungan,2018,10554.46
Bulungan,2019,9649.72
Bulungan,2020,12531.8
Bulungan,2021,10706.11
Bulungan,2022,10890.63
Bulungan,2023,11029.26
Bulungan,2024,10893.0
Bungo,2018,7044.02
Bungo,2019,7385.4
Bungo,2020,6661.82
Bungo,2021,6556.07
Bungo,2022,7636.95
Bungo,2023,9246.06
Bungo,2024,8752.0
Buol,2018,3531.13
Buol,2019,3489.53
Buol,2020,4442.88
Buol,2021,5086.66
Buol,2022,4141.41
Buol,2023,3826.18
Buol,2024,5269.0
Buru,2018,5059.12
Buru,2019,4887.53
Buru,2020,4667.17
