Kabupaten/Kota,Tahun,Angka Harapan Hidup
Katingan,2022,64.06
Katingan,2023,64.52
Katingan,2024,64.61
Kaur,2018,64.14
Kaur,2019,64.5
Kaur,2020,64.72
Kaur,2021,64.83
Kaur,2022,65.06
Kaur,2023,65.34
Kaur,2024,65.58
Kayong Utara,2018,65.78
Kayong Utara,2019,66.07
Kayong Utara,2020,66.12
Kayong Utara,2021,66.12
Kayong Utara,2022,66.23
Kayong Utara,2023,67.29
Kayong Utara,2024,67.58
Kebumen,2018,71.15
Kebumen,2019,71.26
Kebumen,2020,71.5
Kebumen,2021,71.65
Kebumen,2022,71.8
Kebumen,2023,72.05
Kebumen,2024,72.45
Kediri,2018,70.39
Kediri,2019,70.57
Kediri,2020,70.64
Kediri,2021,70.69
Kediri,2022,70.93
Kediri,2023,71.18
Kediri,2024,71.31
Keerom,2018,64.57
Keerom,2019,64.59
Keerom,2020,64.6
Keerom,2021,64.6
Keerom,2022,64.86
Keerom,2023,65.31
Keerom,2024,65.48
Kendal,2018,72.4
Kendal,2019,72.43
Kendal,2020,72.58
Kendal,2021,72.64
Kendal,2022,72.7
Kendal,2023,72.84
Kendal,2024,73.14
Kep. Seribu,2018,66.3
Kep. Seribu,2019,66.47
Kep. Seribu,2020,66.67
Kep. Seribu,2021,66.84
Kep. Seribu,2022,67.02
Kep. Seribu,2023,67.68
Kep. Seribu,2024,67.85
Kepahiang,2018,65.37
Kepahiang,2019,65.75
Kepahiang,2020,66.0
Kepahiang,2021,66.13
Kepahiang,2022,66.27
Kepahiang,2023,66.52
Kepahiang,2024,66.67
Kepulauan Anambas,2018,64.88
Kepulauan Anambas,2019,65.04
Kepulauan Anambas,2020,65.2
Kepulauan Anambas,2021,65.35
Kepulauan Anambas,2022,65.67
Kepulauan Anambas,2023,66.15
Kepulauan Anambas,2024,66.43
Kepulauan Aru,2018,60.6
Kepulauan Aru,2019,60.79
Kepulauan Aru,2020,60.93
Kepulauan Aru,2021,61.01
Kepulauan Aru,2022,61.27
Kepulauan Aru,2023,61.72
Kepulauan Aru,2024,61.9
Kepulauan Mentawai,2018,62.57
Kepulauan Mentawai,2019,62.71
Kepulauan Mentawai,2020,62.72
Kepulauan Mentawai,2021,62.72
Kepulauan Mentawai,2022,62.9
Kepulauan Mentawai,2023,63.22
Kepulauan Mentawai,2024,63.39
Kepulauan Meranti,2018,65.18
Kepulauan Meranti,2019,65.5
Kepulauan Meranti,2020,65.66
Kepulauan Meranti,2021,65.77
Kepulauan Meranti,2022,66.01
Kepulauan Meranti,2023,66.47
Kepulauan Meranti,2024,66.54
Kepulauan Sangihe,2018,67.57
Kepulauan Sangihe,2019,67.93
Kepulauan Sangihe,2020,68.09
Kepulauan Sangihe,2021,68.15
Kepulauan Sangihe,2022,68.42
Kepulauan Sangihe,2023,68.85
Kepulauan Sangihe,2024,69.07
Kepulauan Selayar,2018,65.98
Kepulauan Selayar,2019,66.3
Kepulauan Selayar,2020,66.43
Kepulauan Selayar,2021,66.49
Kepulauan Selayar,2022,66.63
Kepulauan Selayar,2023,67.11
Kepulauan Selayar,2024,67.33
Kepulauan Sula,2018,60.9
Kepulauan Sula,2019,61.24
Kepulauan Sula,2020,61.37
Kepulauan Sula,2021,61.45
Kepulauan Sula,2022,61.68
Kepulauan Sula,2023,62.09
Kepulauan Sula,2024,62.35
Kepulauan Talaud,2018,67.68
Kepulauan Talaud,2019,68.01
Kepulauan Talaud,2020,68.14
Kepulauan Talaud,2021,68.22
Kepulauan Talaud,2022,68.5
Kepulauan Talaud,2023,68.98
Kepulauan Talaud,2024,69.28
Kepulauan Yapen,2018,66.92
Kepulauan Yapen,2019,67.03
Kepulauan Yapen,2020,67.04
Kepulauan Yapen,2021,67.04
Kepulauan Yapen,2022,67.09
Kepulauan Yapen,2023,67.71
Kepulauan Yapen,2024,67.89
Kerinci,2018,67.62
Kerinci,2019,67.79
Kerinci,2020,67.98
Kerinci,2021,68.04
Kerinci,2022,68.27
Kerinci,2023,68.63
Kerinci,2024,68.87
Ketapang,2018,68.72
Ketapang,2019,69.0
Ketapang,2020,69.05
Ketapang,2021,69.05
Ketapang,2022,69.17
Ketapang,2023,69.52
Ketapang,2024,69.7
Klaten,2018,74.87
Klaten,2019,74.88
Klaten,2020,75.01
Klaten,2021,75.1
Klaten,2022,75.18
Klaten,2023,75.22
Klaten,2024,75.58
Klungkung,2018,68.68
Klungkung,2019,69.05
Klungkung,2020,69.27
Klungkung,2021,69.44
Klungkung,2022,69.81
Klungkung,2023,70.32
Klungkung,2024,70.54
Kolaka,2018,68.35
Kolaka,2019,68.7
Kolaka,2020,68.94
Kolaka,2021,69.09
Kolaka,2022,69.22
Kolaka,2023,69.33
Kolaka,2024,69.62
Kolaka Timur,2018,70.0
Kolaka Timur,2019,70.35
Kolaka Timur,2020,70.59
Kolaka Timur,2021,70.75
Kolaka Timur,2022,70.82
Kolaka Timur,2023,70.96
Kolaka Timur,2024,71.09
Kolaka Utara,2018,67.91
Kolaka Utara,2019,68.12
Kolaka Utara,2020,68.22
Kolaka Utara,2021,68.29
Kolaka Utara,2022,68.37
Kolaka Utara,2023,68.56
Kolaka Utara,2024,68.64
Konawe,2018,67.7
Konawe,2019,67.99
Konawe,2020,68.16
Konawe,2021,68.19
Konawe,2022,68.23
Konawe,2023,68.32
Konawe,2024,68.6
Konawe Kepulauan,2018,66.12
Konawe Kepulauan,2019,66.21
Konawe Kepulauan,2020,66.25
Konawe Kepulauan,2021,66.3
Konawe Kepulauan,2022,66.31
Konawe Kepulauan,2023,66.34
Konawe Kepulauan,2024,66.66
Konawe Selatan,2018,68.21
Konawe Selatan,2019,68.5
Konawe Selatan,2020,68.66
Konawe Selatan,2021,68.74
Konawe Selatan,2022,68.83
Konawe Selatan,2023,68.91
Konawe Selatan,2024,69.17
Konawe Utara,2018,66.97
Konawe Utara,2019,67.2
Konawe Utara,2020,67.3
Konawe Utara,2021,67.3
Konawe Utara,2022,67.32
Konawe Utara,2023,67.53
Konawe Utara,2024,67.85
Kota Ambon,2018,68.09
Kota Ambon,2019,68.33
Kota Ambon,2020,68.51
Kota Ambon,2021,68.64
Kota Ambon,2022,68.97
Kota Ambon,2023,69.43
Kota Ambon,2024,69.68
Kota Balikpapan,2018,72.26
Kota Balikpapan,2019,72.51
Kota Balikpapan,2020,72.62
Kota Balikpapan,2021,72.86
Kota Balikpapan,2022,72.88
Kota Balikpapan,2023,73.13
Kota Balikpapan,2024,73.32
Kota Banda Aceh,2018,69.09
Kota Banda Aceh,2019,69.36
Kota Banda Aceh,2020,69.48
Kota Banda Aceh,2021,69.56
Kota Banda Aceh,2022,69.81
Kota Banda Aceh,2023,70.07
Kota Banda Aceh,2024,70.22
Kota Bandar Lampung,2018,69.0
Kota Bandar Lampung,2019,69.28
Kota Bandar Lampung,2020,69.36
Kota Bandar Lampung,2021,69.42
Kota Bandar Lampung,2022,69.61
Kota Bandar Lampung,2023,69.96
Kota Bandar Lampung,2024,70.28
Kota Bandung,2018,72.07
Kota Bandung,2019,72.22
Kota Bandung,2020,72.45
Kota Bandung,2021,72.71
Kota Bandung,2022,72.92
Kota Bandung,2023,73.3
Kota Bandung,2024,73.5
Kota Banjar,2018,68.58
Kota Banjar,2019,68.78
Kota Banjar,2020,69.04
Kota Banjar,2021,69.31
Kota Banjar,2022,69.53
Kota Banjar,2023,69.85
Kota Banjar,2024,70.08
Kota Banjar Baru,2018,69.67
Kota Banjar Baru,2019,69.87
Kota Banjar Baru,2020,70.03
Kota Banjar Baru,2021,70.19
Kota Banjar Baru,2022,70.42
Kota Banjar Baru,2023,70.66
Kota Banjar Baru,2024,70.85
Kota Banjarmasin,2018,68.72
Kota Banjarmasin,2019,68.97
Kota Banjarmasin,2020,69.18
Kota Banjarmasin,2021,69.4
Kota Banjarmasin,2022,69.69
Kota Banjarmasin,2023,69.95
Kota Banjarmasin,2024,70.15
Kota Batam,2018,71.29
Kota Batam,2019,71.34
Kota Batam,2020,71.38
Kota Batam,2021,71.41
Kota Batam,2022,71.63
Kota Batam,2023,72.16
Kota Batam,2024,72.2
Kota Batu,2018,70.39
Kota Batu,2019,70.56
Kota Batu,2020,70.62
Kota Batu,2021,70.66
Kota Batu,2022,70.95
Kota Batu,2023,71.19
Kota Batu,2024,71.32
Kota Baubau,2018,68.7
Kota Baubau,2019,68.94
Kota Baubau,2020,69.06
Kota Baubau,2021,69.12
Kota Baubau,2022,69.2
Kota Baubau,2023,69.41
Kota Baubau,2024,69.73
Kota Bekasi,2018,72.86
Kota Bekasi,2019,73.01
Kota Bekasi,2020,73.22
Kota Bekasi,2021,73.48
Kota Bekasi,2022,73.7
Kota Bekasi,2023,74.1
Kota Bekasi,2024,74.29
Kota Bengkulu,2018,67.69
Kota Bengkulu,2019,68.01
Kota Bengkulu,2020,68.21
Kota Bengkulu,2021,68.28
Kota Bengkulu,2022,68.48
Kota Bengkulu,2023,68.81
Kota Bengkulu,2024,69.1
Kota Bima,2018,67.81
Kota Bima,2019,68.18
Kota Bima,2020,68.44
Kota Bima,2021,68.57
Kota Bima,2022,68.84
Kota Bima,2023,69.26
Kota Bima,2024,69.47
Kota Binjai,2018,69.96
Kota Binjai,2019,70.27
Kota Binjai,2020,70.43
Kota Binjai,2021,70.54
Kota Binjai,2022,70.84
Kota Binjai,2023,71.09
Kota Binjai,2024,71.19
Kota Bitung,2018,68.71
Kota Bitung,2019,68.99
Kota Bitung,2020,69.07
Kota Bitung,2021,69.1
Kota Bitung,2022,69.34
Kota Bitung,2023,69.73
Kota Bitung,2024,70.0
Kota Blitar,2018,71.41
Kota Blitar,2019,71.66
Kota Blitar,2020,71.82
Kota Blitar,2021,71.95
Kota Blitar,2022,72.31
Kota Blitar,2023,72.92
Kota Blitar,2024,73.05
Kota Bogor,2018,71.27
Kota Bogor,2019,71.47
Kota Bogor,2020,71.74
Kota Bogor,2021,72.02
Kota Bogor,2022,72.25
Kota Bogor,2023,72.69
Kota Bogor,2024,72.89
Kota Bontang,2018,72.02
Kota Bontang,2019,72.27
Kota Bontang,2020,72.38
Kota Bontang,2021,72.63
Kota Bontang,2022,72.64
Kota Bontang,2023,72.92
Kota Bontang,2024,73.11
Kota Bukittinggi,2018,71.97
Kota Bukittinggi,2019,72.3
Kota Bukittinggi,2020,72.51
Kota Bukittinggi,2021,72.66
Kota Bukittinggi,2022,72.99
Kota Bukittinggi,2023,73.39
Kota Bukittinggi,2024,73.9
Kota Cilegon,2018,64.43
Kota Cilegon,2019,64.59
Kota Cilegon,2020,64.66
Kota Cilegon,2021,64.68
Kota Cilegon,2022,64.95
Kota Cilegon,2023,65.46
Kota Cilegon,2024,65.72
Kota Cimahi,2018,71.81
Kota Cimahi,2019,71.96
Kota Cimahi,2020,72.19
Kota Cimahi,2021,72.45
Kota Cimahi,2022,72.66
Kota Cimahi,2023,73.05
Kota Cimahi,2024,73.23
Kota Cirebon,2018,70.0
Kota Cirebon,2019,70.14
Kota Cirebon,2020,70.35
Kota Cirebon,2021,70.61
Kota Cirebon,2022,70.82
Kota Cirebon,2023,71.06
Kota Cirebon,2024,71.22
Kota Denpasar,2018,72.47
Kota Denpasar,2019,72.79
Kota Denpasar,2020,72.96
Kota Denpasar,2021,73.08
Kota Denpasar,2022,73.39
Kota Denpasar,2023,73.91
Kota Denpasar,2024,74.16
Kota Depok,2018,72.25
Kota Depok,2019,72.4
Kota Depok,2020,72.61
Kota Depok,2021,72.87
Kota Depok,2022,73.08
Kota Depok,2023,73.49
Kota Depok,2024,73.68
Kota Dumai,2018,68.54
Kota Dumai,2019,68.81
Kota Dumai,2020,68.92
Kota Dumai,2021,68.98
Kota Dumai,2022,69.18
Kota Dumai,2023,69.73
Kota Dumai,2024,69.83
Kota Gorontalo,2018,70.02
Kota Gorontalo,2019,70.45
Kota Gorontalo,2020,70.55
Kota Gorontalo,2021,70.66
Kota Gorontalo,2022,70.94
Kota Gorontalo,2023,71.17
Kota Gorontalo,2024,71.36
Kota Gunungsitoli,2018,68.64
Kota Gunungsitoli,2019,69.01
Kota Gunungsitoli,2020,69.22
Kota Gunungsitoli,2021,69.34
Kota Gunungsitoli,2022,69.64
Kota Gunungsitoli,2023,70.13
Kota Gunungsitoli,2024,70.3
Kota Jakarta Barat,2018,71.5
Kota Jakarta Barat,2019,71.6
Kota Jakarta Barat,2020,71.72
Kota Jakarta Barat,2021,71.82
Kota Jakarta Barat,2022,71.97
Kota Jakarta Barat,2023,72.39
Kota Jakarta Barat,2024,72.55
Kota Jakarta Pusat,2018,72.0
Kota Jakarta Pusat,2019,72.1
Kota Jakarta Pusat,2020,72.22
Kota Jakarta Pusat,2021,72.3
Kota Jakarta Pusat,2022,72.55
Kota Jakarta Pusat,2023,73.06
Kota Jakarta Pusat,2024,73.65
Kota Jakarta Selatan,2018,72.01
Kota Jakarta Selatan,2019,72.11
Kota Jakarta Selatan,2020,72.23
Kota Jakarta Selatan,2021,72.33
Kota Jakarta Selatan,2022,72.6
Kota Jakarta Selatan,2023,73.03
Kota Jakarta Selatan,2024,73.38
Kota Jakarta Timur,2018,72.36
Kota Jakarta Timur,2019,72.46
Kota Jakarta Timur,2020,72.6
Kota Jakarta Timur,2021,72.7
Kota Jakarta Timur,2022,72.98
Kota Jakarta Timur,2023,73.38
Kota Jakarta Timur,2024,73.73
Kota Jakarta Utara,2018,71.12
Kota Jakarta Utara,2019,71.22
Kota Jakarta Utara,2020,71.36
Kota Jakarta Utara,2021,71.44
Kota Jakarta Utara,2022,71.58
Kota Jakarta Utara,2023,71.8
Kota Jakarta Utara,2024,71.97
Kota Jambi,2018,70.45
Kota Jambi,2019,70.6
Kota Jambi,2020,70.76
Kota Jambi,2021,70.82
Kota Jambi,2022,71.06
Kota Jambi,2023,71.19
Kota Jambi,2024,71.43
Kota Jayapura,2018,68.2
Kota Jayapura,2019,68.35
Kota Jayapura,2020,68.42
Kota Jayapura,2021,68.45
Kota Jayapura,2022,68.75
Kota Jayapura,2023,69.14
Kota Jayapura,2024,69.42
Kota Kediri,2018,71.88
Kota Kediri,2019,72.04
Kota Kediri,2020,72.09
Kota Kediri,2021,72.11
Kota Kediri,2022,72.35
Kota Kediri,2023,72.93
Kota Kediri,2024,73.06
Kota Kendari,2018,71.3
Kota Kendari,2019,71.58
Kota Kendari,2020,71.73
Kota Kendari,2021,71.81
Kota Kendari,2022,71.91
Kota Kendari,2023,72.04
Kota Kendari,2024,72.38
Kota Kotamobagu,2018,67.93
Kota Kotamobagu,2019,68.3
Kota Kotamobagu,2020,68.47
Kota Kotamobagu,2021,68.59
Kota Kotamobagu,2022,68.91
Kota Kotamobagu,2023,69.41
Kota Kotamobagu,2024,69.69
Kota Kupang,2018,66.86
Kota Kupang,2019,67.34
Kota Kupang,2020,67.57
Kota Kupang,2021,67.77
Kota Kupang,2022,68.1
Kota Kupang,2023,68.6
Kota Kupang,2024,68.91
Kota Langsa,2018,67.13
Kota Langsa,2019,67.34
Kota Langsa,2020,67.41
Kota Langsa,2021,67.42
Kota Langsa,2022,67.59
Kota Langsa,2023,67.85
Kota Langsa,2024,68.0
Kota Lhokseumawe,2018,69.26
Kota Lhokseumawe,2019,69.52
Kota Lhokseumawe,2020,69.63
Kota Lhokseumawe,2021,69.7
Kota Lhokseumawe,2022,69.93
Kota Lhokseumawe,2023,70.11
Kota Lhokseumawe,2024,70.29
Kota Lubuklinggau,2018,66.84
Kota Lubuklinggau,2019,67.0
Kota Lubuklinggau,2020,67.14
Kota Lubuklinggau,2021,67.26
Kota Lubuklinggau,2022,67.54
Kota Lubuklinggau,2023,68.33
Kota Lubuklinggau,2024,68.67
Kota Madiun,2018,70.61
Kota Madiun,2019,70.78
Kota Madiun,2020,70.85
Kota Madiun,2021,70.89
Kota Madiun,2022,71.15
Kota Madiun,2023,71.29
Kota Madiun,2024,71.43
Kota Magelang,2018,74.9
Kota Magelang,2019,74.91
Kota Magelang,2020,75.04
Kota Magelang,2021,75.11
Kota Magelang,2022,75.19
Kota Magelang,2023,75.37
Kota Magelang,2024,75.7
Kota Makasar,2018,69.7
Kota Makasar,2019,70.01
Kota Makasar,2020,70.12
Kota Makasar,2021,70.17
Kota Makasar,2022,70.4
Kota Makasar,2023,70.63
Kota Makasar,2024,70.82
Kota Malang,2018,70.97
Kota Malang,2019,71.19
Kota Malang,2020,71.31
Kota Malang,2021,71.4
Kota Malang,2022,71.72
Kota Malang,2023,72.36
Kota Malang,2024,72.48
Kota Manado,2018,69.53
Kota Manado,2019,69.81
Kota Manado,2020,69.89
Kota Manado,2021,69.92
Kota Manado,2022,70.16
Kota Manado,2023,70.54
Kota Manado,2024,70.81
Kota Mataram,2018,69.24
Kota Mataram,2019,69.6
Kota Mataram,2020,69.86
Kota Mataram,2021,69.98
Kota Mataram,2022,70.25
Kota Mataram,2023,70.59
Kota Mataram,2024,70.79
Kota Medan,2018,70.67
Kota Medan,2019,71.02
Kota Medan,2020,71.21
Kota Medan,2021,71.37
Kota Medan,2022,71.71
Kota Medan,2023,72.15
Kota Medan,2024,72.79
Kota Metro,2018,69.28
Kota Metro,2019,69.56
Kota Metro,2020,69.64
Kota Metro,2021,69.69
Kota Metro,2022,69.88
Kota Metro,2023,70.17
Kota Metro,2024,70.48
Kota Mojokerto,2018,71.06
Kota Mojokerto,2019,71.26
Kota Mojokerto,2020,71.36
Kota Mojokerto,2021,71.43
Kota Mojokerto,2022,71.72
Kota Mojokerto,2023,72.32
Kota Mojokerto,2024,72.45
Kota Padang,2018,71.38
Kota Padang,2019,71.64
Kota Padang,2020,71.76
Kota Padang,2021,71.83
Kota Padang,2022,72.08
Kota Padang,2023,72.39
Kota Padang,2024,72.68
Kota Padang Panjang,2018,70.61
Kota Padang Panjang,2019,70.81
Kota Padang Panjang,2020,70.87
Kota Padang Panjang,2021,70.87
Kota Padang Panjang,2022,71.04
Kota Padang Panjang,2023,71.16
Kota Padang Panjang,2024,71.4
Kota Padangsidimpuan,2018,66.83
Kota Padangsidimpuan,2019,67.12
Kota Padangsidimpuan,2020,67.25
Kota Padangsidimpuan,2021,67.34
Kota Padangsidimpuan,2022,67.66
Kota Padangsidimpuan,2023,68.28
Kota Padangsidimpuan,2024,68.51
Kota Pagar Alam,2018,64.14
Kota Pagar Alam,2019,64.41
Kota Pagar Alam,2020,64.67
Kota Pagar Alam,2021,64.86
Kota Pagar Alam,2022,65.21
Kota Pagar Alam,2023,65.76
Kota Pagar Alam,2024,66.03
Kota Palangka Raya,2018,71.21
Kota Palangka Raya,2019,71.23
Kota Palangka Raya,2020,71.25
Kota Palangka Raya,2021,71.26
Kota Palangka Raya,2022,71.42
Kota Palangka Raya,2023,71.46
Kota Palangka Raya,2024,71.54
Kota Palembang,2018,68.29
Kota Palembang,2019,68.52
Kota Palembang,2020,68.74
Kota Palembang,2021,69.01
Kota Palembang,2022,69.45
Kota Palembang,2023,70.04
Kota Palembang,2024,70.4
Kota Palopo,2018,68.46
Kota Palopo,2019,68.77
Kota Palopo,2020,68.88
Kota Palopo,2021,68.93
Kota Palopo,2022,69.15
Kota Palopo,2023,69.46
Kota Palopo,2024,69.65
Kota Palu,2018,68.35
Kota Palu,2019,68.66
Kota Palu,2020,68.99
Kota Palu,2021,69.01
Kota Palu,2022,69.1
Kota Palu,2023,69.51
Kota Palu,2024,69.62
Kota Pangkal Pinang,2018,70.89
Kota Pangkal Pinang,2019,71.22
Kota Pangkal Pinang,2020,71.36
Kota Pangkal Pinang,2021,71.48
Kota Pangkal Pinang,2022,71.71
Kota Pangkal Pinang,2023,72.18
Kota Pangkal Pinang,2024,72.33
Kota Parepare,2018,68.86
Kota Parepare,2019,69.17
Kota Parepare,2020,69.28
Kota Parepare,2021,69.33
Kota Parepare,2022,69.55
Kota Parepare,2023,69.83
Kota Parepare,2024,70.03
Kota Pariaman,2018,67.89
Kota Pariaman,2019,68.12
Kota Pariaman,2020,68.22
Kota Pariaman,2021,68.26
Kota Pariaman,2022,68.47
Kota Pariaman,2023,69.02
Kota Pariaman,2024,69.23
Kota Pasuruan,2018,69.17
Kota Pasuruan,2019,69.4
Kota Pasuruan,2020,69.52
Kota Pasuruan,2021,69.61
Kota Pasuruan,2022,69.91
Kota Pasuruan,2023,70.35
Kota Pasuruan,2024,70.54
Kota Payakumbuh,2018,71.37
Kota Payakumbuh,2019,71.67
Kota Payakumbuh,2020,71.84
Kota Payakumbuh,2021,71.96
Kota Payakumbuh,2022,72.25
Kota Payakumbuh,2023,72.67
Kota Payakumbuh,2024,73.18
Kota Pekalongan,2018,72.36
Kota Pekalongan,2019,72.37
Kota Pekalongan,2020,72.5
Kota Pekalongan,2021,72.54
Kota Pekalongan,2022,72.59
Kota Pekalongan,2023,72.86
Kota Pekalongan,2024,73.19
Kota Pekanbaru,2018,69.93
Kota Pekanbaru,2019,70.24
Kota Pekanbaru,2020,70.41
Kota Pekanbaru,2021,70.51
Kota Pekanbaru,2022,70.76
Kota Pekanbaru,2023,71.02
Kota Pekanbaru,2024,71.14
Kota Pematang Siantar,2018,70.95
Kota Pematang Siantar,2019,71.38
Kota Pematang Siantar,2020,71.65
Kota Pematang Siantar,2021,71.9
Kota Pematang Siantar,2022,72.33
Kota Pematang Siantar,2023,73.0
Kota Pematang Siantar,2024,73.2
Kota Pontianak,2018,70.42
Kota Pontianak,2019,70.83
Kota Pontianak,2020,71.02
Kota Pontianak,2021,71.15
Kota Pontianak,2022,71.41
Kota Pontianak,2023,71.57
Kota Pontianak,2024,71.76
Kota Prabumulih,2018,67.85
Kota Prabumulih,2019,68.06
Kota Prabumulih,2020,68.27
Kota Prabumulih,2021,68.47
Kota Prabumulih,2022,68.84
Kota Prabumulih,2023,69.33
Kota Prabumulih,2024,69.65
Kota Probolinggo,2018,67.98
Kota Probolinggo,2019,68.17
Kota Probolinggo,2020,68.25
Kota Probolinggo,2021,68.3
Kota Probolinggo,2022,68.56
Kota Probolinggo,2023,69.06
Kota Probolinggo,2024,69.24
Kota Sabang,2018,68.19
Kota Sabang,2019,68.42
Kota Sabang,2020,68.51
Kota Sabang,2021,68.55
Kota Sabang,2022,68.75
Kota Sabang,2023,69.05
Kota Sabang,2024,69.24
Kota Salatiga,2018,75.31
Kota Salatiga,2019,75.32
Kota Salatiga,2020,75.45
Kota Salatiga,2021,75.5
Kota Salatiga,2022,75.66
Kota Salatiga,2023,76.07
Kota Salatiga,2024,76.4
Kota Samarinda,2018,72.0
Kota Samarinda,2019,72.26
Kota Samarinda,2020,72.38
Kota Samarinda,2021,72.62
Kota Samarinda,2022,72.64
Kota Samarinda,2023,72.93
Kota Samarinda,2024,73.12
Kota Sawah Lunto,2018,67.53
Kota Sawah Lunto,2019,67.84
Kota Sawah Lunto,2020,68.02
Kota Sawah Lunto,2021,68.15
Kota Sawah Lunto,2022,68.46
Kota Sawah Lunto,2023,68.77
Kota Sawah Lunto,2024,68.99
Kota Semarang,2018,75.44
Kota Semarang,2019,75.45
Kota Semarang,2020,75.59
Kota Semarang,2021,75.79
Kota Semarang,2022,75.94
Kota Semarang,2023,76.04
Kota Semarang,2024,76.37
Kota Serang,2018,65.63
Kota Serang,2019,65.79
Kota Serang,2020,65.87
Kota Serang,2021,65.91
Kota Serang,2022,66.19
Kota Serang,2023,67.05
Kota Serang,2024,67.33
Kota Sibolga,2018,66.31
Kota Sibolga,2019,66.73
Kota Sibolga,2020,67.0
Kota Sibolga,2021,67.29
Kota Sibolga,2022,67.73
Kota Sibolga,2023,68.26
Kota Sibolga,2024,68.46
Kota Singkawang,2018,69.4
Kota Singkawang,2019,69.86
Kota Singkawang,2020,70.09
Kota Singkawang,2021,70.27
Kota Singkawang,2022,70.57
Kota Singkawang,2023,70.85
Kota Singkawang,2024,70.99
Kota Solok,2018,71.18
Kota Solok,2019,71.5
Kota Solok,2020,71.7
Kota Solok,2021,71.83
Kota Solok,2022,72.15
Kota Solok,2023,72.62
Kota Solok,2024,72.91
Kota Sorong,2018,67.98
Kota Sorong,2019,68.44
Kota Sorong,2020,68.76
Kota Sorong,2021,69.01
Kota Sorong,2022,69.37
Kota Sorong,2023,69.97
Kota Sorong,2024,70.16
Kota Subulussalam,2018,61.73
Kota Subulussalam,2019,61.98
Kota Subulussalam,2020,62.08
Kota Subulussalam,2021,62.14
Kota Subulussalam,2022,62.35
Kota Subulussalam,2023,62.54
Kota Subulussalam,2024,62.65
Kota Sukabumi,2018,70.12
Kota Sukabumi,2019,70.28
Kota Sukabumi,2020,70.52
Kota Sukabumi,2021,70.75
Kota Sukabumi,2022,70.92
Kota Sukabumi,2023,71.08
Kota Sukabumi,2024,71.23
Kota Sungai Penuh,2018,69.84
Kota Sungai Penuh,2019,70.02
Kota Sungai Penuh,2020,70.22
Kota Sungai Penuh,2021,70.31
Kota Sungai Penuh,2022,70.59
Kota Sungai Penuh,2023,70.89
Kota Sungai Penuh,2024,71.14
Kota Surabaya,2018,72.06
Kota Surabaya,2019,72.21
Kota Surabaya,2020,72.26
Kota Surabaya,2021,72.27
Kota Surabaya,2022,72.5
Kota Surabaya,2023,73.01
Kota Surabaya,2024,73.19
Kota Surakarta,2018,75.31
Kota Surakarta,2019,75.32
Kota Surakarta,2020,75.45
Kota Surakarta,2021,75.57
Kota Surakarta,2022,75.66
Kota Surakarta,2023,75.77
Kota Surakarta,2024,76.1
Kota Tangerang,2018,69.45
Kota Tangerang,2019,69.57
Kota Tangerang,2020,69.61
Kota Tangerang,2021,69.61
Kota Tangerang,2022,69.86
Kota Tangerang,2023,70.28
Kota Tangerang,2024,70.5
Kota Tangerang Selatan,2018,70.27
Kota Tangerang Selatan,2019,70.43
Kota Tangerang Selatan,2020,70.51
Kota Tangerang Selatan,2021,70.55
Kota Tangerang Selatan,2022,70.85
Kota Tangerang Selatan,2023,71.07
Kota Tangerang Selatan,2024,71.21
Kota Tanjung Balai,2018,60.66
Kota Tanjung Balai,2019,61.08
Kota Tanjung Balai,2020,61.34
Kota Tanjung Balai,2021,61.58
Kota Tanjung Balai,2022,61.99
Kota Tanjung Balai,2023,62.42
Kota Tanjung Balai,2024,62.57
Kota Tanjung Pinang,2018,69.94
Kota Tanjung Pinang,2019,70.03
Kota Tanjung Pinang,2020,70.12
Kota Tanjung Pinang,2021,70.21
Kota Tanjung Pinang,2022,70.49
Kota Tanjung Pinang,2023,70.88
Kota Tanjung Pinang,2024,71.02
Kota Tarakan,2018,73.28
Kota Tarakan,2019,73.32
Kota Tarakan,2020,73.39
Kota Tarakan,2021,73.46
Kota Tarakan,2022,73.48
Kota Tarakan,2023,73.51
Kota Tarakan,2024,73.54
Kota Tasikmalaya,2018,69.7
Kota Tasikmalaya,2019,69.94
Kota Tasikmalaya,2020,70.25
Kota Tasikmalaya,2021,70.52
Kota Tasikmalaya,2022,70.73
Kota Tasikmalaya,2023,70.95
Kota Tasikmalaya,2024,71.11
Kota Tebing Tinggi,2018,68.43
Kota Tebing Tinggi,2019,68.74
Kota Tebing Tinggi,2020,68.9
Kota Tebing Tinggi,2021,69.02
Kota Tebing Tinggi,2022,69.32
Kota Tebing Tinggi,2023,69.69
Kota Tebing Tinggi,2024,69.83
Kota Tegal,2018,72.4
Kota Tegal,2019,72.44
Kota Tegal,2020,72.61
Kota Tegal,2021,72.66
Kota Tegal,2022,72.72
Kota Tegal,2023,72.9
Kota Tegal,2024,73.23
Kota Ternate,2018,68.49
Kota Ternate,2019,68.84
Kota Ternate,2020,68.99
Kota Ternate,2021,69.08
Kota Ternate,2022,69.35
Kota Ternate,2023,69.76
Kota Ternate,2024,70.03
Kota Tidore Kepulauan,2018,66.84
Kota Tidore Kepulauan,2019,67.2
Kota Tidore Kepulauan,2020,67.36
Kota Tidore Kepulauan,2021,67.46
Kota Tidore Kepulauan,2022,67.74
Kota Tidore Kepulauan,2023,68.18
