Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Belitung Timur,2021,8.71,8.29
Belitung Timur,2022,8.82,8.49
Belitung Timur,2023,8.98,8.79
Belitung Timur,2024,9.02,8.95
Belu,2018,7.4,6.78
Belu,2019,7.46,6.79
Belu,2020,7.47,7.07
Belu,2021,7.48,7.08
Belu,2022,7.5,7.35
Belu,2023,7.51,7.36
Belu,2024,7.62,7.37
Bener Meriah,2018,9.76,9.35
Bener Meriah,2019,9.81,9.62
Bener Meriah,2020,9.92,9.63
Bener Meriah,2021,10.06,9.88
Bener Meriah,2022,10.07,9.89
Bener Meriah,2023,10.16,10.04
Bener Meriah,2024,10.17,10.05
Bengkalis,2018,9.56,8.86
Bengkalis,2019,9.74,9.08
Bengkalis,2020,9.97,9.39
Bengkalis,2021,9.98,9.4
Bengkalis,2022,9.99,9.41
Bengkalis,2023,10.01,9.43
Bengkalis,2024,10.02,9.44
Bengkayang,2018,6.64,5.74
Bengkayang,2019,6.9,5.91
Bengkayang,2020,7.23,6.13
Bengkayang,2021,7.25,6.18
Bengkayang,2022,7.42,6.4
Bengkayang,2023,7.62,6.68
Bengkayang,2024,7.75,6.87
Bengkulu Selatan,2018,9.45,8.55
Bengkulu Selatan,2019,9.46,8.56
Bengkulu Selatan,2020,9.69,8.82
Bengkulu Selatan,2021,9.7,8.86
Bengkulu Selatan,2022,9.71,9.08
Bengkulu Selatan,2023,9.73,9.19
Bengkulu Selatan,2024,9.74,9.2
Bengkulu Tengah,2018,7.63,6.54
Bengkulu Tengah,2019,7.71,6.62
Bengkulu Tengah,2020,7.82,6.89
Bengkulu Tengah,2021,7.92,6.9
Bengkulu Tengah,2022,7.93,6.91
Bengkulu Tengah,2023,8.07,6.93
Bengkulu Tengah,2024,8.29,7.12
Bengkulu Utara,2018,8.34,7.45
Bengkulu Utara,2019,8.35,7.46
Bengkulu Utara,2020,8.36,7.47
Bengkulu Utara,2021,8.54,7.71
Bengkulu Utara,2022,8.55,7.72
Bengkulu Utara,2023,8.56,7.73
Bengkulu Utara,2024,8.74,7.94
Berau,2018,9.24,8.66
Berau,2019,9.62,8.9
Berau,2020,9.89,9.12
Berau,2021,9.9,9.13
Berau,2022,9.91,9.14
Berau,2023,9.93,9.28
Berau,2024,9.94,9.31
Biak Numfor,2018,10.38,9.06
Biak Numfor,2019,10.67,9.27
Biak Numfor,2020,10.75,9.41
Biak Numfor,2021,10.76,9.42
Biak Numfor,2022,10.81,9.63
Biak Numfor,2023,10.82,9.8
Biak Numfor,2024,10.83,10.1
Bima,2018,8.33,7.27
Bima,2019,8.34,7.45
Bima,2020,8.46,7.46
Bima,2021,8.57,7.68
Bima,2022,8.62,8.16
Bima,2023,8.88,8.27
Bima,2024,8.91,8.28
Bintan,2018,8.88,8.19
Bintan,2019,8.89,8.2
Bintan,2020,8.94,8.33
Bintan,2021,8.95,8.56
Bintan,2022,8.97,8.68
Bintan,2023,9.05,8.92
Bintan,2024,9.21,9.15
Bireuen,2018,9.3,9.15
Bireuen,2019,9.31,9.25
Bireuen,2020,9.32,9.26
Bireuen,2021,9.33,9.27
Bireuen,2022,9.38,9.29
Bireuen,2023,9.39,9.3
Bireuen,2024,9.66,9.58
Blitar,2018,7.69,6.96
Blitar,2019,7.7,7.09
Blitar,2020,7.8,7.19
Blitar,2021,7.81,7.34
Blitar,2022,7.92,7.68
Blitar,2023,7.93,7.69
Blitar,2024,7.96,7.79
Blora,2018,6.99,5.96
Blora,2019,7.14,6.06
Blora,2020,7.4,6.3
Blora,2021,7.41,6.58
Blora,2022,7.43,6.6
Blora,2023,7.44,6.82
Blora,2024,7.7,6.96
Boalemo,2018,6.05,6.56
Boalemo,2019,6.06,6.57
Boalemo,2020,6.28,6.86
Boalemo,2021,6.44,7.06
Boalemo,2022,6.47,7.38
Boalemo,2023,6.71,7.66
Boalemo,2024,6.72,7.67
Bogor,2018,8.72,7.28
Bogor,2019,8.92,7.7
Bogor,2020,8.93,7.71
Bogor,2021,8.94,7.79
Bogor,2022,8.96,8.0
Bogor,2023,8.97,8.03
Bogor,2024,8.99,8.05
Bojonegoro,2018,7.37,6.2
Bojonegoro,2019,7.72,6.51
Bojonegoro,2020,7.82,6.8
Bojonegoro,2021,8.01,6.81
Bojonegoro,2022,8.02,6.95
Bojonegoro,2023,8.04,6.96
Bojonegoro,2024,8.08,7.1
Bolaang Mongondow,2018,7.6,7.43
Bolaang Mongondow,2019,7.78,7.64
Bolaang Mongondow,2020,7.91,7.97
Bolaang Mongondow,2021,7.95,8.1
Bolaang Mongondow,2022,8.06,8.28
Bolaang Mongondow,2023,8.29,8.44
Bolaang Mongondow,2024,8.3,8.46
Bolaang Mongondow Selatan,2018,8.0,7.53
Bolaang Mongondow Selatan,2019,8.01,7.78
Bolaang Mongondow Selatan,2020,8.02,7.89
Bolaang Mongondow Selatan,2021,8.26,8.14
Bolaang Mongondow Selatan,2022,8.27,8.15
Bolaang Mongondow Selatan,2023,8.28,8.17
Bolaang Mongondow Selatan,2024,8.29,8.28
Bolaang Mongondow Timur,2018,7.78,7.3
Bolaang Mongondow Timur,2019,7.79,7.32
Bolaang Mongondow Timur,2020,7.83,7.59
Bolaang Mongondow Timur,2021,7.93,7.82
Bolaang Mongondow Timur,2022,8.11,7.98
Bolaang Mongondow Timur,2023,8.25,8.28
Bolaang Mongondow Timur,2024,8.26,8.41
Bolaang Mongondow Utara,2018,7.84,8.2
Bolaang Mongondow Utara,2019,7.85,8.27
Bolaang Mongondow Utara,2020,8.14,8.47
Bolaang Mongondow Utara,2021,8.15,8.48
Bolaang Mongondow Utara,2022,8.28,8.67
Bolaang Mongondow Utara,2023,8.29,8.68
Bolaang Mongondow Utara,2024,8.32,8.71
Bombana,2018,8.12,7.02
Bombana,2019,8.13,7.27
Bombana,2020,8.42,7.59
Bombana,2021,8.43,7.62
Bombana,2022,8.44,7.99
Bombana,2023,8.46,8.0
Bombana,2024,8.49,8.03
Bondowoso,2018,6.38,4.96
Bondowoso,2019,6.54,4.99
Bondowoso,2020,6.66,5.27
Bondowoso,2021,6.67,5.28
Bondowoso,2022,6.84,5.58
Bondowoso,2023,6.96,5.72
Bondowoso,2024,7.15,5.89
Bone,2018,7.19,6.85
Bone,2019,7.2,6.86
Bone,2020,7.37,6.87
Bone,2021,7.61,6.92
Bone,2022,7.62,7.21
Bone,2023,7.8,7.39
Bone,2024,7.81,7.55
Bone Bolango,2018,7.58,8.4
Bone Bolango,2019,7.59,8.57
Bone Bolango,2020,7.86,8.78
Bone Bolango,2021,7.87,8.79
Bone Bolango,2022,7.88,8.8
Bone Bolango,2023,7.9,8.82
Bone Bolango,2024,8.02,9.0
Boven Digoel,2018,8.75,7.63
Boven Digoel,2019,8.99,7.81
Boven Digoel,2020,9.22,8.09
Boven Digoel,2021,9.25,8.1
Boven Digoel,2022,9.42,8.45
Boven Digoel,2023,9.61,8.68
Boven Digoel,2024,9.76,8.87
Boyolali,2018,8.45,6.85
Boyolali,2019,8.46,6.94
Boyolali,2020,8.64,7.25
Boyolali,2021,8.65,7.26
Boyolali,2022,8.68,7.51
Boyolali,2023,8.74,7.52
Boyolali,2024,8.82,7.61
Brebes,2018,6.75,5.37
Brebes,2019,6.76,5.38
Brebes,2020,6.77,5.45
Brebes,2021,6.78,5.55
Brebes,2022,6.88,5.83
Brebes,2023,6.92,5.9
Brebes,2024,6.93,5.91
Buleleng,2018,7.91,6.25
Buleleng,2019,7.95,6.29
Buleleng,2020,8.15,6.43
Buleleng,2021,8.16,6.44
Buleleng,2022,8.4,6.81
Buleleng,2023,8.41,6.82
Buleleng,2024,8.43,7.03
Bulukumba,2018,7.66,7.26
Bulukumba,2019,7.67,7.39
Bulukumba,2020,7.87,7.67
Bulukumba,2021,8.07,7.68
Bulukumba,2022,8.23,7.93
Bulukumba,2023,8.49,8.13
Bulukumba,2024,8.67,8.45
Bulungan,2018,9.48,8.59
Bulungan,2019,9.49,8.6
Bulungan,2020,9.5,8.61
Bulungan,2021,9.76,8.8
Bulungan,2022,9.77,8.82
Bulungan,2023,9.78,8.83
Bulungan,2024,9.79,8.95
Bungo,2018,8.67,7.49
Bungo,2019,8.68,7.67
Bungo,2020,8.84,7.79
Bungo,2021,8.85,7.8
Bungo,2022,8.86,7.81
Bungo,2023,8.88,7.94
Bungo,2024,9.13,8.07
Buol,2018,8.89,8.58
Buol,2019,8.9,8.59
Buol,2020,9.0,8.77
Buol,2021,9.22,8.78
Buol,2022,9.22,8.97
Buol,2023,9.23,9.08
Buol,2024,9.24,9.2
Buru,2018,8.82,7.85
Buru,2019,8.89,8.0
Buru,2020,8.92,8.09
Buru,2021,9.16,8.37
Buru,2022,9.23,8.64
Buru,2023,9.24,8.73
Buru,2024,9.25,8.91
Buru Selatan,2018,7.98,6.93
Buru Selatan,2019,8.26,7.19
Buru Selatan,2020,8.46,7.47
Buru Selatan,2021,8.47,7.48
Buru Selatan,2022,8.48,7.73
Buru Selatan,2023,8.5,7.97
Buru Selatan,2024,8.83,8.16
Buton,2018,9.32,6.44
Buton,2019,9.33,6.66
Buton,2020,9.34,6.95
Buton,2021,9.35,7.19
Buton,2022,9.37,7.58
Buton,2023,9.38,7.82
Buton,2024,9.58,7.94
Buton Selatan,2018,7.53,6.2
Buton Selatan,2019,7.79,6.44
Buton Selatan,2020,8.0,6.72
Buton Selatan,2021,8.01,6.84
Buton Selatan,2022,8.03,7.22
Buton Selatan,2023,8.04,7.23
Buton Selatan,2024,8.27,7.31
Buton Tengah,2018,7.67,5.05
Buton Tengah,2019,7.68,5.28
Buton Tengah,2020,7.69,5.48
Buton Tengah,2021,7.7,5.73
Buton Tengah,2022,7.72,6.08
Buton Tengah,2023,7.73,6.09
Buton Tengah,2024,7.74,6.37
Buton Utara,2018,9.22,7.88
Buton Utara,2019,9.44,8.06
