Kabupaten/Kota,Tahun,Garis Kemiskinan
Indragiri Hulu,2020,522110.0
Indragiri Hulu,2021,549563.0
Indragiri Hulu,2022,584910.0
Indragiri Hulu,2023,626671.0
Indragiri Hulu,2024,660349.0
Indramayu,2018,447378.0
Indramayu,2019,458240.0
Indramayu,2020,474807.0
Indramayu,2021,481754.0
Indramayu,2022,499805.0
Indramayu,2023,532545.0
Indramayu,2024,560159.0
Intan Jaya,2018,606138.0
Intan Jaya,2019,627128.0
Intan Jaya,2020,662465.0
Intan Jaya,2021,725106.0
Intan Jaya,2022,769993.0
Intan Jaya,2023,853098.0
Intan Jaya,2024,948843.0
Jayapura,2018,549489.0
Jayapura,2019,589521.0
Jayapura,2020,601005.0
Jayapura,2021,624845.0
Jayapura,2022,651581.0
Jayapura,2023,706549.0
Jayapura,2024,729234.0
Jayawijaya,2018,409846.0
Jayawijaya,2019,420471.0
Jayawijaya,2020,461058.0
Jayawijaya,2021,501075.0
Jayawijaya,2022,524173.0
Jayawijaya,2023,566319.0
Jayawijaya,2024,722258.0
Jember,2018,324174.0
Jember,2019,339685.0
Jember,2020,365295.0
Jember,2021,380397.0
Jember,2022,400961.0
Jember,2023,441171.0
Jember,2024,459043.0
Jembrana,2018,385959.0
Jembrana,2019,390102.0
Jembrana,2020,403462.0
Jembrana,2021,434839.0
Jembrana,2022,458214.0
Jembrana,2023,496435.0
Jembrana,2024,531164.0
Jeneponto,2018,356319.0
Jeneponto,2019,359883.0
Jeneponto,2020,366453.0
Jeneponto,2021,374407.0
Jeneponto,2022,384299.0
Jeneponto,2023,405280.0
Jeneponto,2024,416231.0
Jepara,2018,371296.0
Jepara,2019,386693.0
Jepara,2020,407056.0
Jepara,2021,419028.0
Jepara,2022,442618.0
Jepara,2023,479131.0
