Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Kota Surakarta,6,2023,0.0,8.84,11.42,0.0,14.38,8.81,1.24,77.43,34.5
Kota Salatiga,6,2023,0.0,4.73,2.96,0.0,3.54,8.94,1.56,77.72,29.5
Kota Semarang,6,2023,0.0,4.25,7.56,0.0,11.87,9.02,1.92,77.69,13.9
Kota Pekalongan,6,2023,0.0,7.0,22.35,0.0,20.97,6.55,0.88,74.51,35.9
Kota Tegal,6,2023,0.0,7.91,15.61,0.0,0.88,7.16,0.9,74.64,35.3
Kulon Progo,6,2023,0.61,16.39,15.81,0.0,20.47,8.03,4.89,75.28,35.3
Bantul,6,2023,1.42,12.27,16.44,0.14,18.52,7.98,3.36,73.9,35.3
Gunungkidul,6,2023,0.19,15.86,31.39,0.0,37.55,7.16,2.56,74.23,35.3
Sleman,6,2023,1.74,7.74,12.12,0.0,16.83,8.3,1.67,75.0,35.3
Kota Yogyakarta,6,2023,0.0,6.62,6.96,0.0,31.04,7.87,0.94,74.83,35.3
Pacitan,6,2023,0.55,13.8,34.65,0.06,32.98,8.04,1.8,72.48,35.3
Ponorogo,6,2023,0.32,9.32,27.52,0.22,17.37,7.55,1.47,73.2,35.3
Trenggalek,6,2023,0.58,10.96,32.08,0.0,38.88,7.87,1.05,74.26,35.3
Tulungagung,6,2023,0.58,6.71,31.97,0.05,32.44,7.36,0.86,74.54,35.3
Blitar,6,2023,0.67,8.71,21.04,0.0,22.39,8.5,1.09,73.98,35.3
Kediri,6,2023,1.11,10.65,35.75,0.0,36.34,8.73,1.49,72.97,35.3
Malang,6,2023,1.08,9.55,28.37,0.0,30.38,7.96,0.6,72.95,35.3
Lumajang,6,2023,0.58,9.06,41.27,0.05,38.11,8.09,1.79,70.61,35.3
Jember,6,2023,0.66,9.39,48.11,0.0,30.4,8.35,2.0,69.68,35.3
Banyuwangi,6,2023,0.59,7.51,22.08,0.0,23.49,7.61,3.52,71.06,35.3
Bondowoso,5,2023,0.45,13.47,42.75,0.0,38.83,7.18,1.2,67.29,35.3
Situbondo,6,2023,0.54,11.78,43.32,0.0,39.6,8.1,1.62,69.62,35.3
Probolinggo,5,2023,0.79,17.12,46.5,0.0,41.38,7.89,1.24,67.78,35.3
Pasuruan,6,2023,0.8,8.96,41.38,0.0,28.43,7.6,0.93,70.55,35.3
Sidoarjo,6,2023,2.03,5.36,9.49,0.0,7.5,7.59,0.96,74.36,35.3
Mojokerto,6,2023,0.55,9.71,30.01,0.0,18.73,6.82,3.63,72.93,30.5
Jombang,6,2023,0.61,9.04,34.52,0.0,24.11,8.09,4.09,72.86,30.1
Nganjuk,6,2023,0.45,10.7,32.77,0.0,26.86,7.4,7.07,71.95,32.5
Madiun,6,2023,0.33,10.79,23.85,0.04,26.05,7.56,2.51,71.9,25.1
Magetan,6,2023,0.35,9.84,33.79,0.0,20.42,7.35,9.0,72.97,32.5
Ngawi,6,2023,0.19,14.15,27.71,0.0,17.63,7.88,12.65,72.81,22.3
Bojonegoro,6,2023,0.29,12.21,27.45,0.0,15.84,7.71,11.69,72.16,18.7
Tuban,6,2023,0.29,15.02,36.93,0.0,9.38,8.01,22.15,71.97,37.9
Lamongan,6,2023,0.25,12.53,23.88,0.11,9.02,7.16,7.24,72.86,35.5
Gresik,6,2023,0.53,11.06,19.21,0.0,1.94,7.62,10.45,72.99,44.1
Bangkalan,5,2023,0.68,19.44,60.34,0.0,33.12,6.62,8.27,70.54,25.1
Sampang,6,2023,0.57,21.61,53.31,0.0,15.43,7.34,5.77,68.38,27.6
Pamekasan,6,2023,0.84,13.93,48.93,0.0,13.81,8.61,8.0,68.03,21.1
Sumenep,6,2023,0.34,18.76,67.17,0.46,25.44,7.96,9.38,71.99,27.9
Kota Kediri,6,2023,0.0,7.23,11.65,0.0,41.73,8.1,10.78,74.34,20.1
Kota Blitar,6,2023,0.0,7.37,8.52,0.0,34.86,9.0,6.19,74.26,35.6
Kota Malang,6,2023,0.0,4.37,6.07,0.0,18.81,9.36,10.46,73.75,19.6
Kota Probolinggo,6,2023,0.0,6.65,2.69,0.0,6.96,8.32,8.02,70.68,21.8
Kota Pasuruan,6,2023,0.0,6.37,20.04,0.0,9.33,8.91,12.55,71.96,25.5
Kota Mojokerto,6,2023,0.0,5.98,9.07,0.0,7.16,7.92,16.98,73.74,34.7
Kota Madiun,6,2023,0.0,4.76,10.67,0.0,2.04,9.24,21.34,73.13,29.9
Kota Surabaya,6,2023,0.0,4.72,9.97,0.0,1.13,8.66,13.54,74.47,31.6
Kota Batu,6,2023,0.0,3.79,5.99,0.0,21.02,9.51,11.08,72.97,17.9
Pandeglang,5,2023,0.43,9.32,35.45,0.17,56.41,10.11,4.42,65.2,26.9
Lebak,5,2023,0.6,8.91,54.54,1.64,64.32,8.43,25.35,67.74,40.9
Tangerang,6,2023,2.19,6.92,24.42,0.0,15.48,8.02,2.78,70.28,26.6
Serang,6,2023,0.69,4.96,43.3,0.12,28.72,7.77,8.39,65.18,31.6
Kota Tangerang,6,2023,0.0,5.77,7.69,0.0,7.92,7.99,2.05,71.91,26.4
Kota Cilegon,6,2023,0.0,3.64,14.32,0.0,8.45,7.88,2.66,67.02,33.6
Kota Serang,6,2023,0.0,5.94,35.75,0.0,25.19,8.03,2.56,68.54,14.5
Kota Tangerang Selatan,6,2023,0.0,2.5,4.38,0.0,23.16,8.24,1.35,72.78,20.3
Jembrana,6,2023,1.07,5.3,13.77,0.0,14.16,8.64,1.24,72.82,31.1
Tabanan,6,2023,0.52,5.18,9.83,0.0,20.65,8.17,0.96,74.1,28.0
Badung,6,2023,1.04,2.53,2.65,0.0,12.23,9.15,3.25,75.51,19.7
Gianyar,6,2023,0.75,4.7,0.69,0.0,8.23,8.6,2.91,74.13,16.1
Klungkung,6,2023,0.97,6.07,5.6,0.0,14.17,8.74,2.48,71.83,29.8
Bangli,6,2023,1.96,5.28,17.28,0.0,31.03,9.09,7.92,70.97,24.9
Karangasem,6,2023,0.73,6.98,7.21,0.06,26.6,9.37,10.53,70.89,23.1
Buleleng,6,2023,1.45,6.21,24.05,0.0,19.1,9.27,10.88,72.32,27.1
Kota Denpasar,6,2023,0.0,2.97,2.85,0.0,1.49,9.33,13.65,75.3,24.7
Lombok Barat,5,2023,0.9,13.39,50.21,0.0,31.91,9.41,14.66,67.63,21.6
Lombok Tengah,5,2023,0.5,12.89,53.78,0.0,27.47,8.63,3.87,66.75,21.8
Lombok Timur,5,2023,0.84,15.14,61.11,0.18,34.72,9.01,47.99,66.55,14.8
Sumbawa,6,2023,0.2,13.5,35.97,0.0,9.75,9.33,43.71,68.12,23.5
Dompu,6,2023,0.19,12.4,49.27,0.12,33.27,8.98,13.74,67.36,18.9
Bima,6,2023,0.28,14.5,55.68,0.13,31.45,9.35,10.4,66.87,30.7
Sumbawa Barat,6,2023,0.3,13.02,34.6,0.0,8.69,8.7,13.77,68.74,30.5
Lombok Utara,4,2023,0.91,25.93,65.08,0.09,40.37,8.75,3.35,67.75,19.0
Kota Mataram,6,2023,0.0,8.63,34.75,0.0,11.38,10.66,0.83,72.2,16.5
Kota Bima,6,2023,0.0,8.8,25.07,0.0,19.78,9.17,0.68,70.83,18.5
Kupang,5,2023,0.92,21.7,24.32,7.35,45.97,9.93,1.48,65.28,26.0
Timor Tengah Selatan,4,2023,0.91,25.45,48.06,9.53,33.86,9.87,1.91,66.68,19.2
Timor Tengah Utara,5,2023,0.65,21.5,50.33,2.71,27.42,10.3,0.8,67.35,20.5
Belu,6,2023,0.48,14.84,31.82,3.86,34.1,9.17,2.58,65.28,21.9
Alor,4,2023,0.88,20.25,47.72,2.26,55.45,9.63,0.45,61.99,14.4
Flores Timur,5,2023,1.26,10.75,30.61,1.83,29.13,9.24,1.45,65.62,26.5
Sikka,6,2023,0.99,12.61,22.04,5.24,20.09,8.79,3.39,67.86,27.9
Ende,5,2023,0.83,23.0,33.26,0.89,20.17,8.53,1.77,65.76,30.0
Ngada,6,2023,0.44,11.93,27.68,4.34,16.89,8.64,2.78,68.4,32.6
Manggarai,6,2023,0.62,19.84,36.89,3.29,12.7,8.8,4.09,67.38,24.3
Sumba Timur,5,2023,0.6,28.22,24.27,3.4,37.56,8.99,3.33,65.38,23.3
Sumba Barat,5,2023,0.64,27.47,27.94,13.08,39.39,9.77,4.99,67.35,24.6
Lembata,5,2023,1.02,25.18,22.81,2.1,42.92,8.27,4.61,67.52,32.4
Rote Ndao,5,2023,0.78,27.45,23.08,2.0,33.12,8.95,2.66,65.26,30.7
Manggarai Barat,6,2023,0.32,17.15,28.15,3.67,38.44,9.32,4.22,67.73,32.7
Nagekeo,5,2023,0.87,12.05,21.98,1.27,48.02,8.32,3.15,67.56,27.4
Sumba Tengah,4,2023,0.38,32.51,37.03,12.94,51.77,8.56,4.77,68.65,31.3
Sumba Barat Daya,4,2023,0.54,27.16,63.58,20.53,69.3,9.28,4.62,68.79,36.8
Manggarai Timur,4,2023,0.58,25.35,61.74,6.29,55.27,8.3,0.97,68.29,20.0
Sabu Raijua,3,2023,1.6,28.73,40.52,6.31,49.69,8.92,9.36,60.87,24.7
Malaka,5,2023,0.49,15.26,36.06,4.77,46.82,8.34,0.79,65.34,32.1
Kota Kupang,6,2023,0.0,8.61,3.66,0.01,17.64,8.72,0.51,70.11,28.4
Sambas,5,2023,0.66,6.92,40.43,0.0,92.7,7.44,0.28,69.39,22.1
Mempawah,5,2023,0.97,5.32,20.94,0.0,79.5,7.53,0.38,71.47,39.8
Sanggau,6,2023,1.19,4.51,21.06,2.99,38.19,8.17,0.25,71.58,31.3
Ketapang,6,2023,0.92,9.39,21.65,3.49,56.22,8.83,0.76,71.27,33.0
Sintang,5,2023,1.57,8.57,21.19,9.81,37.5,8.14,0.49,72.12,29.4
Kapuas Hulu,5,2023,1.78,8.59,38.01,3.67,43.73,8.16,0.75,72.69,30.1
Bengkayang,6,2023,0.61,6.03,19.2,4.2,47.88,8.93,0.37,74.0,34.2
Landak,6,2023,0.53,10.01,32.75,6.43,55.23,8.7,0.98,73.39,14.1
Sekadau,5,2023,1.25,5.85,32.63,5.57,65.6,7.91,1.29,72.39,27.8
Melawi,3,2023,3.74,11.44,39.14,6.38,54.44,8.43,0.86,73.14,26.9
Kayong Utara,5,2023,0.56,9.04,27.27,0.61,62.3,7.45,1.49,68.82,28.6
Kubu Raya,5,2023,1.45,4.12,27.65,0.12,89.35,8.43,0.97,70.95,27.3
Kota Pontianak,6,2023,0.0,4.46,11.16,0.0,60.17,8.76,0.98,73.46,20.9
Kota Singkawang,5,2023,0.0,4.67,13.03,0.07,44.75,9.17,1.24,72.46,26.4
Kotawaringin Barat,4,2023,5.0,3.93,13.93,0.0,18.93,9.13,1.3,70.98,26.7
Kotawaringin Timur,5,2023,2.15,5.95,22.52,0.32,25.29,8.9,1.55,70.15,35.4
Kapuas,6,2023,0.49,5.52,36.19,1.86,42.22,8.47,4.03,69.02,29.8
Barito Selatan,4,2023,2.83,4.88,32.98,0.14,34.18,8.97,3.03,67.48,22.6
Barito Utara,6,2023,0.96,5.8,24.58,2.21,25.24,9.21,0.89,71.5,34.1
Katingan,6,2023,0.94,5.5,29.77,2.32,37.8,9.06,1.67,66.16,32.6
Seruyan,3,2023,3.99,7.43,24.5,0.11,31.69,8.56,0.86,69.46,31.3
Sukamara,4,2023,4.84,3.72,21.98,2.4,22.43,9.51,2.51,71.8,28.3
Lamandau,3,2023,4.71,3.34,26.0,5.47,23.96,9.36,1.87,69.62,22.6
Gunung Mas,3,2023,5.0,5.64,26.45,0.72,42.85,8.54,3.13,70.72,28.0
Pulang Pisau,6,2023,0.26,4.7,18.59,0.0,49.5,8.4,3.43,68.36,35.3
Murung Raya,2,2023,5.0,6.4,23.12,5.2,53.53,8.75,0.52,69.75,29.9
Barito Timur,6,2023,1.08,6.59,12.26,2.75,33.84,8.96,1.56,68.61,24.8
Kota Palangkaraya,6,2023,0.0,3.61,6.8,0.03,9.56,9.08,2.78,73.47,31.2
Tanah Laut,6,2023,0.62,3.86,21.31,0.11,30.86,9.44,5.16,69.86,21.6
Kotabaru,5,2023,2.72,4.3,22.43,0.99,26.49,8.74,4.81,69.56,23.7
Banjar,6,2023,0.79,2.79,26.87,0.13,29.68,9.13,1.83,67.73,32.3
Barito Kuala,6,2023,0.3,4.75,33.44,0.98,36.33,8.45,1.11,66.55,31.7
Tapin,6,2023,0.35,3.6,27.36,0.32,21.06,7.52,1.15,70.88,41.6
Hulu Sungai Selatan,6,2023,0.71,4.54,24.64,0.01,34.74,8.18,0.6,66.51,32.6
Hulu Sungai Tengah,6,2023,0.42,5.92,37.94,0.28,43.49,8.04,2.12,66.54,29.9
Hulu Sungai Utara,5,2023,1.55,6.49,16.65,0.21,35.29,8.59,1.13,64.53,30.8
Tabalong,6,2023,0.86,5.87,20.2,0.29,23.52,8.11,4.91,70.84,6.4
Tanah Bumbu,6,2023,1.46,4.26,7.63,0.22,14.67,9.08,1.99,70.7,22.3
Balangan,6,2023,1.06,5.83,19.23,0.0,15.22,7.82,2.56,68.13,29.3
Kota Banjarmasin,6,2023,0.0,4.74,15.04,0.0,1.03,9.57,0.69,71.59,40.6
Kota Banjarbaru,6,2023,0.0,4.17,10.44,0.0,18.19,7.96,0.86,72.36,39.3
Paser,6,2023,1.02,9.43,14.86,0.0,16.07,8.21,2.33,72.89,38.6
Kutai Kartanegara,6,2023,1.17,7.96,7.22,0.0,3.11,8.36,2.38,72.65,33.8
Berau,6,2023,1.28,5.65,5.62,0.28,8.71,8.41,3.84,72.32,25.8
Kutai Barat,3,2023,5.0,10.2,12.78,0.0,23.51,8.09,3.17,73.1,28.1
Kutai Timur,4,2023,4.06,9.28,14.89,1.78,11.65,10.13,5.33,73.47,31.5
Penajam Paser Utara,6,2023,0.71,7.25,9.39,0.23,10.95,9.81,1.16,71.71,26.8
Mahakam Ulu,3,2023,5.0,11.55,15.13,0.5,14.06,10.05,4.11,72.35,27.0
Kota Balikpapan,6,2023,0.0,2.45,2.93,0.0,2.25,9.4,4.66,74.78,23.3
Kota Samarinda,6,2023,0.0,4.85,2.27,0.0,0.36,9.03,11.82,74.56,28.1
Kota Bontang,6,2023,0.0,4.54,5.66,0.47,0.0,9.93,3.61,74.57,27.5
Bulungan,6,2023,2.1,9.32,12.34,0.52,19.0,8.87,4.38,72.76,24.1
Malinau,5,2023,2.28,6.64,10.47,3.14,28.8,9.57,6.97,71.5,25.7
Nunukan,6,2023,1.6,6.13,15.42,0.38,37.32,8.46,4.5,71.41,41.6
Tana Tidung,4,2023,5.0,4.45,8.42,2.02,14.02,8.94,2.47,71.51,23.9
Kota Tarakan,6,2023,0.0,6.3,3.9,0.0,4.81,9.26,4.12,74.06,32.2
Bolaang Mongondow,6,2023,0.33,7.04,42.38,0.0,22.31,9.32,4.15,69.78,28.5
Minahasa,6,2023,0.79,7.05,32.77,0.17,23.8,8.51,4.87,71.49,31.4
Kepulauan Sangihe,3,2023,5.0,10.5,54.42,1.69,31.55,8.73,3.48,70.51,24.9
Kepulauan Talaud,6,2023,1.37,8.25,49.2,0.27,30.36,8.87,9.23,70.57,32.3
Minahasa Selatan,6,2023,0.54,9.0,49.51,0.18,22.53,7.76,4.66,70.35,31.2
Minahasa Utara,6,2023,0.99,6.6,42.64,0.67,17.71,8.68,2.88,71.68,23.7
Minahasa Tenggara,6,2023,0.68,11.78,52.39,0.0,19.41,10.59,9.8,70.52,29.0
Bolaang Mongondow Utara,6,2023,0.46,7.31,52.29,0.0,27.37,10.07,24.69,68.05,29.2
Kep. Siau Tagulandang Biaro,3,2023,5.0,8.2,32.98,2.34,58.11,8.34,11.51,71.27,26.1
Bolaang Mongondow Timur,6,2023,0.87,5.85,43.86,0.0,25.76,9.59,27.02,68.24,22.8
Bolaang Mongondow Selatan,5,2023,1.24,11.92,53.83,1.09,24.91,9.25,2.05,64.74,36.6
Kota Manado,6,2023,0.0,5.85,26.17,0.0,9.18,8.48,10.27,72.18,36.7
Kota Bitung,6,2023,0.0,6.2,29.52,0.22,2.99,9.32,7.42,71.38,23.8
Kota Tomohon,6,2023,0.0,5.26,21.31,0.0,18.85,8.8,9.84,72.44,31.1
Kota Kotamobagu,6,2023,0.0,5.19,23.91,0.09,22.49,8.53,55.35,70.98,39.1
Banggai,6,2023,0.4,7.33,11.97,0.08,28.96,10.64,15.66,70.88,27.3
Poso,6,2023,0.46,15.18,16.37,0.66,23.57,8.47,6.66,71.19,27.2
Donggala,5,2023,0.87,16.3,31.02,3.02,47.32,6.08,22.75,67.61,51.5
Tolitoli,6,2023,0.68,12.74,15.61,1.01,28.66,10.35,37.51,66.41,23.7
Buol,6,2023,0.53,12.85,23.76,0.38,12.22,5.89,3.81,69.32,46.7
Morowali,6,2023,0.8,12.58,13.54,0.06,18.61,10.87,16.02,69.23,20.2
Banggai Kepulauan,3,2023,4.74,13.44,35.33,2.76,18.49,10.28,11.15,66.73,17.1
Parigi Moutong,6,2023,0.31,14.63,25.45,1.23,37.97,10.22,3.31,64.35,31.1
Tojo Una-Una,6,2023,0.92,16.12,26.91,2.2,15.46,10.47,1.85,66.08,27.3
Sigi,6,2023,0.47,12.3,21.46,1.3,47.82,3.53,7.68,70.15,45.2
Banggai Laut,2,2023,5.0,13.17,36.88,6.63,30.5,4.98,22.42,65.81,42.5
Morowali Utara,6,2023,0.63,12.97,14.62,0.29,21.03,9.85,9.51,69.77,33.0
Kota Palu,6,2023,0.0,6.63,4.98,0.0,17.02,9.58,36.08,71.2,37.2
Kepulauan Selayar,5,2023,2.18,12.24,36.15,0.49,10.94,7.9,44.85,68.81,29.6
Bulukumba,6,2023,0.32,7.39,35.74,1.69,26.9,6.87,43.13,68.51,54.5
Bantaeng,6,2023,0.38,9.07,29.36,0.0,16.62,4.13,41.02,70.88,53.3
Jeneponto,6,2023,0.32,13.73,33.65,0.2,17.82,3.52,40.21,66.81,48.9
Takalar,6,2023,0.44,8.25,14.29,0.0,16.98,2.29,13.0,67.64,50.1
Gowa,6,2023,0.32,7.36,24.81,0.11,22.15,10.76,36.07,70.7,25.6
Sinjai,6,2023,0.46,8.8,18.06,0.27,25.17,8.95,23.12,67.68,25.9
Bone,6,2023,0.14,10.58,11.54,1.09,29.03,9.32,35.22,67.57,22.2
Maros,6,2023,0.34,9.43,20.64,0.36,24.32,10.26,1.63,69.28,40.2
Pangkajene Dan Kepulauan,6,2023,0.55,13.92,28.0,0.0,23.0,9.17,97.71,67.12,29.0
Barru,6,2023,0.23,8.4,21.04,0.29,19.38,4.57,28.17,69.35,50.2
Soppeng,6,2023,0.12,7.49,16.67,0.43,28.61,3.95,8.1,70.2,34.8
Wajo,6,2023,0.09,6.57,26.16,0.71,27.44,5.07,33.9,67.82,41.1
Sidenreng Rappang,6,2023,0.11,5.11,15.97,0.7,27.72,6.18,24.03,70.41,38.2
Pinrang,6,2023,0.14,8.79,18.94,0.16,24.02,1.38,38.7,70.15,42.0
Enrekang,6,2023,0.54,12.39,25.92,0.18,28.71,4.08,13.08,71.17,35.1
Luwu,6,2023,0.24,12.49,28.74,0.55,40.63,2.39,42.0,70.75,35.4
Tana Toraja,6,2023,0.65,12.18,24.73,0.37,53.27,1.82,18.73,73.72,13.4
Luwu Utara,6,2023,0.25,13.22,17.32,0.48,25.0,12.86,0.01,69.03,25.1
Luwu Timur,6,2023,0.26,6.81,11.68,0.17,24.78,10.98,0.19,70.94,23.4
Toraja Utara,6,2023,0.5,11.65,33.66,0.05,40.6,10.99,0.16,73.65,22.1
Kota Makassar,6,2023,0.0,4.58,11.3,0.0,4.31,11.12,0.06,72.4,28.1
Kota Pare Pare,6,2023,0.0,5.41,10.1,0.0,7.01,8.53,1.45,71.57,47.9
Kota Palopo,6,2023,0.0,7.78,15.81,0.12,4.33,10.48,0.01,71.18,14.5
Kolaka,6,2023,0.82,11.51,15.87,0.08,6.63,10.04,0.07,71.3,26.9
Konawe,6,2023,0.36,12.75,18.5,0.0,22.61,11.43,0.04,70.38,14.3
Muna,5,2023,1.47,13.41,31.11,0.23,31.59,10.68,0.03,70.47,19.6
Buton,5,2023,2.34,13.27,31.29,1.05,20.93,11.37,0.02,68.46,15.4
Konawe Selatan,6,2023,0.54,11.08,20.11,0.27,9.63,11.04,0.05,70.95,18.7
Bombana,6,2023,0.36,10.26,17.72,0.18,6.67,10.95,0.13,69.2,28.8
Wakatobi,3,2023,5.0,14.55,23.07,1.45,37.42,8.44,0.27,70.59,17.7
Kolaka Utara,4,2023,3.74,13.08,19.77,0.11,9.1,11.69,0.1,70.4,19.5
Konawe Utara,6,2023,1.27,13.72,30.05,0.13,15.53,11.49,0.05,69.59,18.1
Buton Utara,6,2023,1.19,14.26,17.35,0.99,12.41,10.63,0.49,70.96,13.7
Kolaka Timur,6,2023,0.24,13.57,18.65,0.0,18.62,12.45,0.05,72.9,16.8
Konawe Kepulauan,2,2023,5.0,16.15,17.91,0.23,40.2,12.01,0.02,68.46,16.8
Muna Barat,6,2023,0.8,13.85,31.62,2.36,35.89,10.87,0.1,70.39,17.8
Buton Tengah,4,2023,2.73,14.9,20.28,0.24,10.2,11.08,0.08,67.78,18.4
Buton Selatan,4,2023,2.11,14.41,31.58,0.31,55.22,11.97,0.08,67.76,16.8
Kota Kendari,6,2023,0.0,4.57,9.42,0.0,11.75,10.3,1.24,73.93,12.8
Kota Bau Bau,6,2023,0.0,7.31,10.97,0.31,6.09,11.11,0.04,71.36,14.0
Gorontalo,6,2023,0.39,17.71,29.08,2.27,17.8,10.03,0.32,67.89,26.0
Boalemo,6,2023,0.22,18.74,41.07,0.56,11.31,11.01,0.04,69.61,14.3
Bone Bolango,6,2023,1.12,16.05,26.34,0.0,18.16,10.27,0.25,68.88,12.3
Pahuwato,6,2023,0.19,17.87,36.66,0.16,4.58,9.5,0.85,64.62,11.6
Gorontalo Utara,6,2023,0.28,17.24,38.83,0.62,19.21,9.42,0.27,66.3,11.7
Kota Gorontalo,6,2023,0.0,5.73,2.02,0.0,2.26,11.88,0.05,72.88,12.9
Mamuju Utara,4,2023,4.42,5.09,15.63,1.05,24.33,10.76,0.03,66.9,11.1
Mamuju,6,2023,0.52,7.63,18.82,0.97,26.2,10.75,0.04,68.21,10.4
Mamasa,5,2023,0.51,14.51,33.61,1.06,69.26,10.22,0.07,71.2,12.9
Polewali Mandar,5,2023,0.44,16.39,34.42,0.45,30.13,10.93,0.22,62.86,15.2
Majene,4,2023,2.55,15.13,23.22,0.07,11.76,10.72,0.1,62.16,15.7
Mamuju Tengah,6,2023,0.87,7.17,13.42,0.43,21.46,11.35,0.01,68.97,11.9
Maluku Tengah,5,2023,1.71,17.46,22.03,1.93,25.14,11.62,0.01,66.73,14.4
Maluku Tenggara,3,2023,3.86,21.19,13.93,1.82,37.06,11.39,0.0,65.46,14.0
Maluku Tenggara Barat,4,2023,2.54,23.88,16.05,0.72,30.31,10.83,0.01,63.73,15.2
Buru,6,2023,0.5,15.82,11.76,1.26,27.48,10.24,0.02,66.72,18.5
Seram Bagian Timur,5,2023,0.92,20.73,23.45,14.92,43.04,10.45,0.02,60.06,18.7
Seram Bagian Barat,3,2023,2.35,22.25,28.79,2.4,53.7,10.26,0.02,62.25,19.2
Kepulauan Aru,2,2023,5.0,23.51,16.66,31.21,34.75,10.86,0.01,63.29,19.4
Maluku Barat Daya,4,2023,1.77,27.64,11.78,1.47,37.63,10.35,0.01,62.98,17.0
Buru Selatan,3,2023,3.34,14.75,22.58,8.18,31.48,11.69,0.02,66.69,6.0
Kota Ambon,6,2023,0.0,4.68,6.71,0.22,12.25,11.35,0.03,71.0,12.6
Kota Tual,4,2023,0.0,20.56,6.8,1.7,17.9,10.98,0.01,66.16,16.4
Halmahera Barat,3,2023,5.0,8.43,16.09,2.43,42.89,9.63,0.06,66.64,22.4
Halmahera Tengah,2,2023,4.91,12.0,3.85,1.24,48.01,9.08,0.12,64.61,19.3
Halmahera Utara,6,2023,1.15,4.58,13.76,1.93,29.84,10.91,0.01,69.88,13.9
Halmahera Selatan,3,2023,5.0,4.99,20.19,5.32,40.88,10.72,0.01,66.22,16.2
Kepulauan Sula,3,2023,4.44,7.64,23.25,0.43,50.04,11.38,0.03,63.68,14.2
Halmahera Timur,6,2023,0.89,13.14,19.36,2.64,41.75,10.5,0.03,69.5,10.4
Pulau Morotai,3,2023,5.0,5.42,22.17,0.0,34.85,9.31,0.03,67.74,23.1
Pulau Taliabu,2,2023,5.0,6.88,33.33,22.19,46.95,9.48,0.02,62.53,16.8
Kota Ternate,6,2023,0.0,3.11,5.23,0.0,5.95,11.82,0.01,71.38,13.8
Kota Tidore Kepulauan,5,2023,0.0,5.99,11.81,0.16,32.73,10.6,0.02,69.75,14.3
Merauke,6,2023,0.22,10.1,18.12,7.78,24.61,10.95,0.03,67.31,12.8
Jayawijaya,1,2023,5.0,35.8,43.56,5.35,79.07,10.86,0.01,60.26,18.0
Jayapura,5,2023,1.93,11.94,17.39,5.28,35.31,9.33,0.05,67.45,23.3
Nabire,6,2023,0.92,23.9,15.1,3.35,17.26,9.48,0.04,68.41,21.1
Kepulauan Yapen,5,2023,1.18,26.15,23.94,16.85,39.04,11.12,0.01,69.39,8.4
Biak Numfor,2,2023,5.0,24.48,12.94,0.01,35.91,11.58,0.02,68.5,9.7
Puncak Jaya,1,2023,5.0,36.3,26.25,55.17,87.99,10.42,0.01,65.66,4.8
Paniai,1,2023,5.0,36.63,69.33,32.23,100.0,10.09,0.19,66.94,25.2
Mimika,6,2023,0.67,14.28,20.3,6.66,19.74,10.56,0.02,72.57,11.8
Sarmi,4,2023,3.05,13.76,33.53,4.27,36.02,10.3,0.07,66.74,19.1
Keerom,5,2023,1.29,15.77,27.98,10.91,31.77,8.63,0.1,67.04,23.8
Pegunungan Bintang,3,2023,0.05,30.32,74.4,67.48,71.7,11.34,0.02,64.79,9.0
Yahukimo,1,2023,5.0,36.21,86.25,40.16,68.34,11.22,0.01,66.31,5.5
Tolikara,1,2023,5.0,31.31,85.96,0.87,97.19,9.23,0.01,66.08,25.8
Waropen,4,2023,1.68,30.22,11.91,10.54,57.07,10.92,0.21,66.68,31.2
Boven Digoel,1,2023,5.0,20.04,27.69,15.3,47.06,11.44,0.05,60.64,35.3
Mappi,2,2023,2.97,26.04,35.3,11.97,75.22,10.42,0.03,65.66,19.7
Asmat,1,2023,2.52,24.87,65.27,58.56,88.08,8.54,0.3,58.9,23.5
Supiori,1,2023,5.0,37.7,61.51,26.68,75.14,11.45,1.26,66.36,27.8
Mamberamo Raya,1,2023,5.0,30.73,73.64,9.08,95.48,9.81,0.02,58.29,22.4
Mamberamo Tengah,1,2023,5.0,35.92,88.59,17.51,100.0,11.01,0.2,64.05,22.1
Yalimo,1,2023,5.0,31.68,71.76,33.36,100.0,10.67,0.12,65.72,19.6
Lanny Jaya,1,2023,5.0,37.76,89.27,19.87,99.69,11.19,0.16,66.31,25.3
Nduga,1,2023,5.0,36.73,47.36,36.43,96.27,10.88,0.13,55.7,21.0
Puncak,1,2023,5.0,36.25,91.43,0.79,96.41,10.15,0.17,66.13,15.4
Dogiyai,1,2023,5.0,29.48,10.79,61.94,76.03,10.87,0.03,66.13,18.4
Intan Jaya,1,2023,5.0,42.03,72.69,72.3,100.0,10.17,0.35,65.93,23.5
Deiyai,1,2023,5.0,40.31,77.43,23.48,99.34,11.01,0.18,65.66,13.7
Kota Jayapura,6,2023,0.0,11.12,9.92,0.37,13.46,10.13,0.12,70.76,22.9
Sorong,2,2023,4.53,27.58,23.45,1.54,50.89,11.17,0.1,66.55,24.7
