Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Blora,6,2018,0.36,13.04,36.43,0.12,24.86,6.62,1.09,73.99,37.0
Rembang,6,2018,0.6,18.35,44.27,0.0,27.1,6.81,0.91,74.32,32.3
Pati,6,2018,0.27,11.38,30.65,0.0,29.49,7.34,0.63,75.8,31.8
Kudus,6,2018,1.15,7.59,16.48,0.0,34.88,8.37,0.19,76.44,23.0
Jepara,6,2018,0.63,8.12,43.34,0.0,39.99,7.31,0.53,75.68,26.2
Demak,6,2018,0.48,13.41,35.45,0.0,16.78,7.47,0.68,75.27,25.9
Semarang,6,2018,0.9,7.78,19.68,0.16,38.33,8.15,0.7,75.57,21.1
Temanggung,6,2018,0.77,11.46,24.45,0.12,43.67,7.14,0.57,75.42,30.0
Kendal,6,2018,0.76,11.1,32.83,0.06,28.57,7.05,0.59,74.24,26.7
Batang,6,2018,0.76,10.8,36.64,0.0,48.55,6.8,0.69,74.5,30.9
Pekalongan,5,2018,1.26,12.61,38.38,0.0,55.74,6.91,0.48,73.46,35.6
Pemalang,5,2018,0.82,17.37,46.79,0.0,33.47,6.48,0.51,72.98,30.8
Tegal,5,2018,0.93,9.9,36.89,0.14,46.17,6.61,0.43,71.14,34.4
Brebes,5,2018,0.74,19.14,39.76,0.0,39.94,6.06,0.62,68.61,28.5
Kota Magelang,6,2018,50.0,8.75,44.54,0.11,11.6,9.8,0.01,76.66,27.9
Kota Surakarta,6,2018,50.0,10.65,41.7,0.0,18.89,9.78,0.01,77.06,22.1
Kota Salatiga,6,2018,50.0,5.07,42.61,0.0,18.04,9.93,0.05,76.98,28.1
Kota Semarang,6,2018,50.0,4.62,39.95,0.11,10.44,9.6,0.05,77.21,21.0
Kota Pekalongan,5,2018,50.0,7.47,54.23,0.0,36.45,8.71,0.04,74.19,31.8
Kota Tegal,5,2018,50.0,8.11,43.92,0.0,35.82,7.9,0.03,74.23,24.2
Kulon Progo,6,2018,0.7,20.03,42.78,0.65,42.58,8.61,0.52,75.06,23.6
Bantul,6,2018,1.33,14.07,18.12,0.0,44.81,9.3,0.21,73.56,22.9
Gunungkidul,6,2018,0.19,18.65,50.94,0.15,40.8,6.81,1.31,73.82,27.9
Sleman,6,2018,0.98,8.13,16.96,0.0,43.81,10.37,0.11,74.63,10.6
Kota Yogyakarta,6,2018,50.0,7.64,40.76,0.0,31.46,11.09,0.01,74.35,23.0
Pacitan,6,2018,0.3,15.42,47.15,0.15,47.6,7.1,1.48,71.31,21.1
Ponorogo,6,2018,0.26,11.39,39.47,0.24,38.59,7.18,0.65,72.27,25.1
Trenggalek,6,2018,0.41,12.96,43.68,0.0,60.77,7.21,0.9,73.15,24.3
Tulungagung,6,2018,0.51,8.04,27.84,0.1,47.07,8.04,0.58,73.53,22.1
Blitar,6,2018,0.55,9.8,36.03,0.33,52.48,7.29,0.93,72.99,23.3
Kediri,6,2018,0.78,12.25,40.35,0.15,42.62,7.81,0.74,72.25,33.5
Malang,6,2018,0.84,11.04,37.61,0.16,50.38,7.31,1.1,72.12,28.3
Lumajang,5,2018,0.54,10.87,48.29,0.16,55.18,6.33,1.19,69.5,28.1
Jember,5,2018,0.6,11.0,43.96,0.07,51.26,6.22,0.84,68.54,30.9
Banyuwangi,6,2018,0.53,8.64,25.96,0.0,47.89,6.98,2.1,70.19,26.2
Bondowoso,5,2018,0.42,14.54,61.9,0.0,51.15,5.48,0.91,66.04,38.3
Situbondo,5,2018,0.44,13.05,50.78,0.0,53.86,6.23,1.09,68.53,30.5
Probolinggo,5,2018,0.69,20.52,42.89,0.18,45.49,5.83,1.29,66.47,32.0
Pasuruan,6,2018,0.52,10.34,51.63,0.06,50.14,6.84,0.84,69.9,24.2
Sidoarjo,5,2018,2.84,6.23,16.5,0.0,27.61,9.67,0.17,73.71,19.0
Mojokerto,6,2018,0.66,10.19,32.62,0.0,36.49,8.25,0.33,72.1,29.0
Jombang,6,2018,0.63,10.48,44.54,0.0,31.17,8.1,0.34,71.87,26.2
Nganjuk,6,2018,0.4,11.98,45.53,0.0,32.79,7.57,0.9,71.11,25.9
Madiun,6,2018,0.33,12.28,34.45,0.15,31.28,7.5,0.78,70.77,20.7
Magetan,6,2018,0.35,10.48,26.3,0.0,27.15,7.81,0.43,72.16,24.8
Ngawi,6,2018,0.24,14.91,40.89,0.1,37.66,6.82,0.84,71.74,26.9
Bojonegoro,6,2018,0.35,14.34,44.22,0.0,22.8,6.84,1.04,70.83,19.2
Tuban,6,2018,0.39,16.87,55.61,0.49,21.63,6.69,1.24,70.8,25.3
Lamongan,6,2018,0.31,14.42,27.56,0.0,15.41,7.63,0.97,71.87,23.0
Gresik,6,2018,0.77,12.8,26.52,0.0,8.6,8.75,0.45,72.36,19.8
Bangkalan,4,2018,0.64,21.32,64.21,0.06,47.25,5.38,0.5,69.82,43.0
Sampang,5,2018,0.7,23.56,59.09,0.09,40.19,4.95,1.62,67.67,26.4
Pamekasan,4,2018,1.08,16.0,67.74,0.0,44.48,6.25,0.45,67.05,42.5
Sumenep,5,2018,0.8,19.62,72.14,0.26,44.61,5.36,1.3,70.71,32.3
Kota Kediri,5,2018,50.0,8.49,44.53,0.0,34.28,9.52,0.04,73.69,25.6
Kota Blitar,5,2018,50.0,8.03,45.74,0.0,46.05,9.46,0.05,73.17,15.5
Kota Malang,6,2018,50.0,4.17,37.85,0.0,14.58,9.77,0.04,72.77,27.4
Kota Probolinggo,5,2018,0.84,7.84,40.79,0.0,20.6,8.13,0.06,69.86,30.4
Kota Pasuruan,5,2018,50.0,7.53,52.46,0.0,20.84,8.84,0.06,71.02,33.4
Kota Mojokerto,6,2018,50.0,5.73,44.15,0.0,18.65,9.77,0.04,72.86,10.3
Kota Madiun,6,2018,50.0,4.94,42.74,0.0,7.71,9.9,0.02,72.48,18.3
Kota Surabaya,6,2018,50.0,5.39,39.88,0.0,2.7,9.45,0.04,73.88,22.8
Kota Batu,5,2018,50.0,4.31,49.82,0.0,41.39,8.68,0.32,72.25,35.1
Pandeglang,5,2018,0.46,9.74,48.81,0.16,63.79,6.73,2.26,64.04,37.8
Lebak,5,2018,0.59,8.64,41.79,0.25,63.64,6.33,1.88,66.59,37.3
Tangerang,5,2018,2.55,5.39,21.6,0.0,28.58,7.97,0.27,69.47,28.8
Serang,5,2018,0.78,4.63,44.41,0.0,37.32,7.36,1.57,64.02,34.3
Kota Tangerang,6,2018,50.0,4.95,46.28,0.0,13.82,9.86,0.04,71.38,23.3
Kota Cilegon,5,2018,50.0,3.52,49.99,0.0,18.44,9.07,0.15,66.32,20.8
Kota Serang,4,2018,50.0,5.57,52.85,0.18,28.75,8.32,0.16,67.38,31.7
Kota Tangerang Selatan,6,2018,50.0,1.76,38.78,0.0,23.91,11.24,0.03,72.16,23.9
Jembrana,6,2018,1.31,5.38,22.17,0.0,36.91,7.37,1.09,71.7,25.2
Tabanan,6,2018,0.59,4.92,8.91,0.0,23.15,8.19,0.44,73.03,16.2
