Kabupaten/Kota,Tahun,Pengeluaran Perkapita Kacang-Kacangan
Bungo,2021,2131.26
Bungo,2022,2121.47
Bungo,2023,2428.22
Bungo,2024,2589.0
Buol,2018,1432.82
Buol,2019,1500.03
Buol,2020,1408.02
Buol,2021,1640.47
Buol,2022,1354.7
Buol,2023,1310.55
Buol,2024,1688.0
Buru,2018,1921.4
Buru,2019,1896.95
Buru,2020,1487.53
Buru,2021,2277.53
Buru,2022,1935.52
Buru,2023,1962.56
Buru,2024,1572.0
Buru Selatan,2018,382.04
Buru Selatan,2019,496.52
Buru Selatan,2020,464.7
Buru Selatan,2021,707.42
Buru Selatan,2022,461.48
Buru Selatan,2023,495.43
Buru Selatan,2024,526.0
Buton,2018,576.75
Buton,2019,994.25
Buton,2020,777.76
Buton,2021,842.37
Buton,2022,790.25
Buton,2023,1079.11
Buton,2024,1127.0
Buton Selatan,2018,404.16
Buton Selatan,2019,740.63
Buton Selatan,2020,732.75
Buton Selatan,2021,806.27
Buton Selatan,2022,608.71
Buton Selatan,2023,678.51
Buton Selatan,2024,1041.0
Buton Tengah,2018,1086.34
Buton Tengah,2019,876.08
Buton Tengah,2020,908.23
Buton Tengah,2021,1497.28
Buton Tengah,2022,1420.37
Buton Tengah,2023,1195.38
Buton Tengah,2024,1159.0
Buton Utara,2018,785.56
Buton Utara,2019,607.81
Buton Utara,2020,740.85
Buton Utara,2021,974.77
Buton Utara,2022,817.72
Buton Utara,2023,783.11
Buton Utara,2024,989.0
Ciamis,2018,2660.18
Ciamis,2019,2678.03
Ciamis,2020,3072.93
Ciamis,2021,3462.89
Ciamis,2022,3509.61
Ciamis,2023,4103.95
Ciamis,2024,4420.0
Cianjur,2018,2075.85
Cianjur,2019,2029.82
Cianjur,2020,2366.99
Cianjur,2021,2619.42
Cianjur,2022,2184.82
Cianjur,2023,2817.42
Cianjur,2024,3359.0
Cilacap,2018,2599.45
Cilacap,2019,2517.62
Cilacap,2020,2566.64
Cilacap,2021,2713.52
Cilacap,2022,2944.28
Cilacap,2023,3635.38
Cilacap,2024,3874.0
Cirebon,2018,2528.75
Cirebon,2019,2659.7
Cirebon,2020,2986.24
Cirebon,2021,3178.47
Cirebon,2022,3443.44
Cirebon,2023,3759.56
Cirebon,2024,3355.0
Dairi,2018,1943.54
Dairi,2019,1770.98
Dairi,2020,2078.29
Dairi,2021,2286.8
Dairi,2022,2037.53
Dairi,2023,2283.03
Dairi,2024,2472.0
Deiyai,2018,3277.62
Deiyai,2019,2443.57
Deiyai,2020,6385.48
Deiyai,2021,749.8
Deiyai,2022,596.68
Deiyai,2023,2928.4
Deiyai,2024,1662.0
Deli Serdang,2018,2006.23
Deli Serdang,2019,2093.39
Deli Serdang,2020,2246.38
Deli Serdang,2021,2223.95
Deli Serdang,2022,2687.89
Deli Serdang,2023,2597.79
Deli Serdang,2024,2639.0
Demak,2018,2918.62
Demak,2019,3395.43
Demak,2020,3159.56
Demak,2021,3348.95
Demak,2022,3611.78
Demak,2023,4223.83
Demak,2024,3783.0
Dharmasraya,2018,2235.62
Dharmasraya,2019,2156.38
Dharmasraya,2020,2424.71
Dharmasraya,2021,2602.3
Dharmasraya,2022,2417.75
Dharmasraya,2023,2577.0
Dharmasraya,2024,2774.0
Dogiyai,2018,1061.18
Dogiyai,2019,974.43
Dogiyai,2020,2104.15
Dogiyai,2021,1111.52
Dogiyai,2022,1756.75
Dogiyai,2023,1578.34
Dogiyai,2024,342.0
Dompu,2018,1089.77
Dompu,2019,1298.6
Dompu,2020,2051.56
Dompu,2021,1857.78
Dompu,2022,1981.0
Dompu,2023,1803.29
Dompu,2024,1983.0
Donggala,2018,1417.34
Donggala,2019,1662.63
Donggala,2020,1622.59
Donggala,2021,1703.55
Donggala,2022,1735.43
Donggala,2023,1911.81
Donggala,2024,2072.0
Empat Lawang,2018,1519.39
Empat Lawang,2019,1319.71
Empat Lawang,2020,1459.67
Empat Lawang,2021,1995.93
Empat Lawang,2022,1882.75
Empat Lawang,2023,2439.86
Empat Lawang,2024,1961.0
Ende,2018,1609.66
Ende,2019,1199.72
Ende,2020,1446.68
Ende,2021,1772.11
Ende,2022,1947.06
Ende,2023,1966.64
Ende,2024,1403.0
Enrekang,2018,2675.86
Enrekang,2019,2268.02
Enrekang,2020,3124.58
