Kabupaten/Kota,Tahun,Pengeluaran Perkapita Padi-Padian
Bolaang Mongondow,2020,19462.73
Bolaang Mongondow,2021,19453.27
Bolaang Mongondow,2022,20901.6
Bolaang Mongondow,2023,24260.58
Bolaang Mongondow,2024,26522.0
Bolaang Mongondow Selatan,2018,17423.57
Bolaang Mongondow Selatan,2019,15969.02
Bolaang Mongondow Selatan,2020,17060.84
Bolaang Mongondow Selatan,2021,20016.15
Bolaang Mongondow Selatan,2022,20803.76
Bolaang Mongondow Selatan,2023,22733.44
Bolaang Mongondow Selatan,2024,24071.0
Bolaang Mongondow Timur,2018,18351.78
Bolaang Mongondow Timur,2019,18647.75
Bolaang Mongondow Timur,2020,20266.46
Bolaang Mongondow Timur,2021,19683.64
Bolaang Mongondow Timur,2022,23417.39
Bolaang Mongondow Timur,2023,26136.79
Bolaang Mongondow Timur,2024,26297.0
Bolaang Mongondow Utara,2018,15181.43
Bolaang Mongondow Utara,2019,15000.48
Bolaang Mongondow Utara,2020,15551.3
Bolaang Mongondow Utara,2021,19322.21
Bolaang Mongondow Utara,2022,20047.62
Bolaang Mongondow Utara,2023,21156.76
Bolaang Mongondow Utara,2024,22382.0
Bombana,2018,17067.42
Bombana,2019,14797.88
Bombana,2020,17822.07
Bombana,2021,17397.41
Bombana,2022,17307.33
Bombana,2023,20756.88
Bombana,2024,25879.0
Bondowoso,2018,12396.75
Bondowoso,2019,17017.45
Bondowoso,2020,15015.44
Bondowoso,2021,16488.7
Bondowoso,2022,19460.51
Bondowoso,2023,17825.33
Bondowoso,2024,23238.0
Bone,2018,11694.89
Bone,2019,12155.01
Bone,2020,13571.91
Bone,2021,14150.21
Bone,2022,13941.65
Bone,2023,14670.36
Bone,2024,17913.0
Bone Bolango,2018,15684.28
Bone Bolango,2019,14391.28
Bone Bolango,2020,14893.02
Bone Bolango,2021,14807.6
Bone Bolango,2022,17330.82
Bone Bolango,2023,19850.77
Bone Bolango,2024,24639.0
Boven Digoel,2018,14342.0
Boven Digoel,2019,14828.29
Boven Digoel,2020,15203.33
Boven Digoel,2021,12086.2
Boven Digoel,2022,12833.96
Boven Digoel,2023,11494.46
Boven Digoel,2024,24246.0
Boyolali,2018,12289.83
Boyolali,2019,10943.91
Boyolali,2020,11448.4
Boyolali,2021,12536.31
Boyolali,2022,11401.18
Boyolali,2023,12965.47
Boyolali,2024,18663.0
Brebes,2018,13684.4
Brebes,2019,12037.37
Brebes,2020,11291.27
Brebes,2021,13000.42
Brebes,2022,13066.36
Brebes,2023,16355.53
Brebes,2024,19504.0
Buleleng,2018,17275.34
Buleleng,2019,19387.38
Buleleng,2020,21453.01
Buleleng,2021,23998.69
Buleleng,2022,22443.55
Buleleng,2023,25194.89
Buleleng,2024,26549.0
Bulukumba,2018,16704.84
Bulukumba,2019,14966.22
Bulukumba,2020,18258.92
Bulukumba,2021,18791.89
Bulukumba,2022,20579.12
Bulukumba,2023,20027.51
Bulukumba,2024,21358.0
Bulungan,2018,18690.03
Bulungan,2019,19761.68
Bulungan,2020,20031.04
Bulungan,2021,20773.97
Bulungan,2022,22632.93
Bulungan,2023,23939.02
Bulungan,2024,23692.0
Bungo,2018,15877.91
Bungo,2019,16135.03
Bungo,2020,16142.07
Bungo,2021,16359.47
Bungo,2022,15346.55
Bungo,2023,18302.36
Bungo,2024,21313.0
Buol,2018,18434.41
Buol,2019,16397.14
Buol,2020,16159.23
Buol,2021,17413.07
Buol,2022,17826.56
Buol,2023,22379.99
Buol,2024,24727.0
Buru,2018,16439.06
Buru,2019,18584.5
Buru,2020,19315.11
Buru,2021,19916.44
Buru,2022,18592.45
Buru,2023,22615.42
Buru,2024,25716.0
Buru Selatan,2018,16782.23
Buru Selatan,2019,18258.81
Buru Selatan,2020,18212.01
Buru Selatan,2021,17812.36
Buru Selatan,2022,20680.45
Buru Selatan,2023,22427.26
Buru Selatan,2024,25290.0
Buton,2018,13815.27
Buton,2019,14035.37
Buton,2020,17959.05
Buton,2021,18822.63
Buton,2022,17077.65
Buton,2023,19509.19
Buton,2024,24187.0
Buton Selatan,2018,15311.62
Buton Selatan,2019,14571.2
Buton Selatan,2020,18108.22
Buton Selatan,2021,19990.48
Buton Selatan,2022,18855.08
Buton Selatan,2023,20917.42
Buton Selatan,2024,27303.0
Buton Tengah,2018,16114.35
Buton Tengah,2019,13505.55
Buton Tengah,2020,17374.44
Buton Tengah,2021,17561.85
Buton Tengah,2022,19030.71
Buton Tengah,2023,18601.45
Buton Tengah,2024,18524.0
Buton Utara,2018,18988.17
Buton Utara,2019,17338.74
Buton Utara,2020,19678.39
Buton Utara,2021,20073.04
Buton Utara,2022,19153.54
Buton Utara,2023,22451.56
Buton Utara,2024,25793.0
Ciamis,2018,19138.28
Ciamis,2019,16532.11
Ciamis,2020,16315.18
Ciamis,2021,17901.83
Ciamis,2022,19067.72
Ciamis,2023,20944.46
Ciamis,2024,25096.0
Cianjur,2018,17907.53
Cianjur,2019,14837.84
Cianjur,2020,15390.87
Cianjur,2021,16917.78
Cianjur,2022,16400.11
Cianjur,2023,18445.36
Cianjur,2024,24508.0
Cilacap,2018,12930.35
Cilacap,2019,13659.88
Cilacap,2020,14108.94
Cilacap,2021,14913.09
Cilacap,2022,14858.26
Cilacap,2023,16969.71
Cilacap,2024,22327.0
Cirebon,2018,13631.74
Cirebon,2019,12256.48
Cirebon,2020,14192.82
Cirebon,2021,15246.0
Cirebon,2022,15164.25
Cirebon,2023,17113.96
Cirebon,2024,18937.0
Dairi,2018,25056.76
Dairi,2019,24447.26
Dairi,2020,23396.42
Dairi,2021,23370.36
Dairi,2022,22559.0
Dairi,2023,26471.73
Dairi,2024,28699.0
Deiyai,2018,7739.12
Deiyai,2019,6046.47
Deiyai,2020,6695.96
Deiyai,2021,11627.92
Deiyai,2022,10036.22
Deiyai,2023,9952.59
Deiyai,2024,13672.0
Deli Serdang,2018,15698.91
Deli Serdang,2019,16030.63
Deli Serdang,2020,15444.21
Deli Serdang,2021,16155.52
Deli Serdang,2022,18236.26
Deli Serdang,2023,19792.34
Deli Serdang,2024,22576.0
Demak,2018,13375.37
Demak,2019,14648.66
Demak,2020,14679.7
Demak,2021,14668.28
Demak,2022,15716.28
Demak,2023,15839.1
Demak,2024,18255.0
Dharmasraya,2018,17580.92
Dharmasraya,2019,17501.69
Dharmasraya,2020,16842.7
Dharmasraya,2021,17040.46
Dharmasraya,2022,16129.08
Dharmasraya,2023,20263.31
Dharmasraya,2024,22291.0
Dogiyai,2018,8599.58
Dogiyai,2019,5152.71
Dogiyai,2020,5536.38
Dogiyai,2021,6394.24
Dogiyai,2022,6804.76
Dogiyai,2023,10490.71
Dogiyai,2024,18232.0
Dompu,2018,22465.4
Dompu,2019,16408.33
Dompu,2020,18115.75
Dompu,2021,16518.97
Dompu,2022,20756.6
Dompu,2023,20342.91
Dompu,2024,32651.0
Donggala,2018,18423.18
Donggala,2019,18747.31
Donggala,2020,18703.13
Donggala,2021,20395.07
Donggala,2022,21508.45
Donggala,2023,25586.36
Donggala,2024,26952.0
Empat Lawang,2018,21793.07
Empat Lawang,2019,17782.06
Empat Lawang,2020,15861.73
Empat Lawang,2021,16523.76
Empat Lawang,2022,14730.96
Empat Lawang,2023,18643.94
Empat Lawang,2024,20743.0
Ende,2018,25462.26
Ende,2019,24820.88
Ende,2020,28541.47
Ende,2021,27754.31
Ende,2022,27214.92
Ende,2023,35924.71
Ende,2024,34831.0
Enrekang,2018,16669.91
Enrekang,2019,15959.55
Enrekang,2020,18066.47
Enrekang,2021,18736.31
Enrekang,2022,16591.24
Enrekang,2023,19086.34
Enrekang,2024,24834.0
Fakfak,2018,17444.45
Fakfak,2019,17508.26
Fakfak,2020,18595.14
Fakfak,2021,19706.78
Fakfak,2022,20237.23
Fakfak,2023,18810.77
Fakfak,2024,23121.0
Flores Timur,2018,25782.35
Flores Timur,2019,28114.58
Flores Timur,2020,27269.28
Flores Timur,2021,25794.97
Flores Timur,2022,29804.63
Flores Timur,2023,34387.94
Flores Timur,2024,35608.0
Garut,2018,17602.13
Garut,2019,17509.24
Garut,2020,17596.92
Garut,2021,18867.6
