Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Makanan Lainnya
Gayo Lues,2020,2043.94
Gayo Lues,2021,2587.43
Gayo Lues,2022,2572.1
Gayo Lues,2023,2375.37
Gayo Lues,2024,2720.0
Gianyar,2018,1299.03
Gianyar,2019,1596.14
Gianyar,2020,1749.36
Gianyar,2021,2710.19
Gianyar,2022,2369.32
Gianyar,2023,2374.87
Gianyar,2024,2621.0
Gorontalo,2018,1132.81
Gorontalo,2019,1145.57
Gorontalo,2020,1298.01
Gorontalo,2021,1639.69
Gorontalo,2022,1844.45
Gorontalo,2023,1758.46
Gorontalo,2024,1613.0
Gorontalo Utara,2018,1104.45
Gorontalo Utara,2019,1208.6
Gorontalo Utara,2020,1234.21
Gorontalo Utara,2021,1679.35
Gorontalo Utara,2022,2088.95
Gorontalo Utara,2023,2211.33
Gorontalo Utara,2024,1969.0
Gowa,2018,2397.36
Gowa,2019,2335.42
Gowa,2020,2422.35
Gowa,2021,2517.89
Gowa,2022,2669.96
Gowa,2023,2727.45
Gowa,2024,2962.0
Gresik,2018,2355.5
Gresik,2019,1944.0
Gresik,2020,2086.56
Gresik,2021,3143.08
Gresik,2022,2786.3
Gresik,2023,3361.85
Gresik,2024,3416.0
Grobogan,2018,2260.96
Grobogan,2019,2395.61
Grobogan,2020,2215.84
Grobogan,2021,2284.94
Grobogan,2022,2928.15
Grobogan,2023,3422.22
Grobogan,2024,3595.0
Gunung Kidul,2018,2174.19
Gunung Kidul,2019,1860.53
Gunung Kidul,2020,1769.56
Gunung Kidul,2021,2147.15
Gunung Kidul,2022,2467.88
Gunung Kidul,2023,2714.75
Gunung Kidul,2024,3368.0
Gunung Mas,2018,3229.35
Gunung Mas,2019,4195.25
Gunung Mas,2020,3760.82
Gunung Mas,2021,4040.34
Gunung Mas,2022,5347.22
Gunung Mas,2023,5468.31
Gunung Mas,2024,4791.0
Halmahera Barat,2018,1401.43
Halmahera Barat,2019,1498.67
Halmahera Barat,2020,1781.3
Halmahera Barat,2021,1863.96
Halmahera Barat,2022,2243.47
Halmahera Barat,2023,2293.63
Halmahera Barat,2024,1997.0
Halmahera Selatan,2018,1572.42
Halmahera Selatan,2019,1506.5
Halmahera Selatan,2020,1660.82
Halmahera Selatan,2021,2026.61
Halmahera Selatan,2022,2173.22
Halmahera Selatan,2023,2566.82
Halmahera Selatan,2024,3376.0
Halmahera Tengah,2018,1690.53
Halmahera Tengah,2019,2358.89
Halmahera Tengah,2020,1726.3
Halmahera Tengah,2021,1538.87
Halmahera Tengah,2022,2100.41
Halmahera Tengah,2023,3583.3
Halmahera Tengah,2024,3196.0
Halmahera Timur,2018,2574.29
Halmahera Timur,2019,1996.69
Halmahera Timur,2020,1855.63
Halmahera Timur,2021,2179.29
Halmahera Timur,2022,2523.32
Halmahera Timur,2023,2495.4
Halmahera Timur,2024,3814.0
Halmahera Utara,2018,1340.4
Halmahera Utara,2019,1279.85
Halmahera Utara,2020,1339.46
Halmahera Utara,2021,1792.99
Halmahera Utara,2022,2079.26
Halmahera Utara,2023,2153.73
Halmahera Utara,2024,2696.0
Hulu Sungai Selatan,2018,3354.12
Hulu Sungai Selatan,2019,2884.05
Hulu Sungai Selatan,2020,3352.58
Hulu Sungai Selatan,2021,3647.66
Hulu Sungai Selatan,2022,3880.4
Hulu Sungai Selatan,2023,3286.76
Hulu Sungai Selatan,2024,3337.0
Hulu Sungai Tengah,2018,3067.72
Hulu Sungai Tengah,2019,3194.48
Hulu Sungai Tengah,2020,2983.88
Hulu Sungai Tengah,2021,3887.86
Hulu Sungai Tengah,2022,3319.29
Hulu Sungai Tengah,2023,3675.65
Hulu Sungai Tengah,2024,3521.0
Hulu Sungai Utara,2018,2894.54
Hulu Sungai Utara,2019,3044.74
Hulu Sungai Utara,2020,2670.35
Hulu Sungai Utara,2021,4504.88
Hulu Sungai Utara,2022,4258.94
Hulu Sungai Utara,2023,3929.71
Hulu Sungai Utara,2024,4299.0
Humbang Hasundutan,2018,973.98
Humbang Hasundutan,2019,931.17
Humbang Hasundutan,2020,756.68
Humbang Hasundutan,2021,1636.48
Humbang Hasundutan,2022,1378.82
Humbang Hasundutan,2023,1688.77
Humbang Hasundutan,2024,1692.0
Indragiri Hilir,2018,2959.57
Indragiri Hilir,2019,2611.76
Indragiri Hilir,2020,3242.67
Indragiri Hilir,2021,3810.77
Indragiri Hilir,2022,3586.23
Indragiri Hilir,2023,3895.89
Indragiri Hilir,2024,3521.0
Indragiri Hulu,2018,2437.61
Indragiri Hulu,2019,2289.41
Indragiri Hulu,2020,2006.06
Indragiri Hulu,2021,2481.82
Indragiri Hulu,2022,2711.15
Indragiri Hulu,2023,3315.2
Indragiri Hulu,2024,2962.0
Indramayu,2018,2677.75
Indramayu,2019,2915.18
Indramayu,2020,2830.39
Indramayu,2021,3622.7
Indramayu,2022,4075.17
Indramayu,2023,4663.61
Indramayu,2024,4109.0
Intan Jaya,2018,2919.46
Intan Jaya,2019,2837.37
Intan Jaya,2020,7399.33
Intan Jaya,2021,3416.47
Intan Jaya,2022,3887.31
Intan Jaya,2023,8403.18
Intan Jaya,2024,8304.0
Jayapura,2018,1663.67
Jayapura,2019,2187.89
Jayapura,2020,2386.47
Jayapura,2021,3121.58
Jayapura,2022,3243.12
Jayapura,2023,3954.19
Jayapura,2024,2591.0
Jayawijaya,2018,3575.96
Jayawijaya,2019,3896.1
Jayawijaya,2020,2508.84
Jayawijaya,2021,4871.56
Jayawijaya,2022,5609.9
Jayawijaya,2023,4809.59
Jayawijaya,2024,2555.0
Jember,2018,2113.13
Jember,2019,1781.23
Jember,2020,2551.39
Jember,2021,2465.55
Jember,2022,3031.7
Jember,2023,3020.0
Jember,2024,2981.0
Jembrana,2018,1541.41
Jembrana,2019,2300.93
Jembrana,2020,2151.17
Jembrana,2021,2443.78
Jembrana,2022,2472.53
Jembrana,2023,2600.01
Jembrana,2024,2547.0
Jeneponto,2018,1820.14
Jeneponto,2019,1591.84
Jeneponto,2020,1725.92
Jeneponto,2021,1826.73
Jeneponto,2022,2094.5
Jeneponto,2023,2023.86
Jeneponto,2024,1836.0
Jepara,2018,2079.28
Jepara,2019,2238.31
