Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minyak dan Kelapa
Bulungan,2019,3418.08
Bulungan,2020,3821.86
Bulungan,2021,3965.75
Bulungan,2022,5078.32
Bulungan,2023,4111.27
Bulungan,2024,4885.0
Bungo,2018,4344.12
Bungo,2019,4254.73
Bungo,2020,4131.84
Bungo,2021,4614.79
Bungo,2022,6869.51
Bungo,2023,5555.83
Bungo,2024,5755.0
Buol,2018,2763.69
Buol,2019,2968.87
Buol,2020,2787.31
Buol,2021,3089.32
Buol,2022,3889.39
Buol,2023,3590.61
Buol,2024,2996.0
Buru,2018,3701.21
Buru,2019,4013.95
Buru,2020,3547.9
Buru,2021,4082.71
Buru,2022,5022.6
Buru,2023,4982.15
Buru,2024,4867.0
Buru Selatan,2018,3465.13
Buru Selatan,2019,3261.84
Buru Selatan,2020,3642.85
Buru Selatan,2021,3863.69
Buru Selatan,2022,4560.42
Buru Selatan,2023,5195.99
Buru Selatan,2024,4622.0
Buton,2018,1866.28
Buton,2019,1648.72
Buton,2020,2276.22
Buton,2021,2322.26
Buton,2022,3388.8
Buton,2023,3086.6
Buton,2024,3062.0
Buton Selatan,2018,1237.26
Buton Selatan,2019,1587.97
Buton Selatan,2020,2138.28
Buton Selatan,2021,2004.08
Buton Selatan,2022,2645.84
Buton Selatan,2023,2870.82
Buton Selatan,2024,2120.0
Buton Tengah,2018,1899.96
Buton Tengah,2019,2202.45
Buton Tengah,2020,1928.5
Buton Tengah,2021,2172.67
Buton Tengah,2022,3445.48
Buton Tengah,2023,2603.47
Buton Tengah,2024,1966.0
Buton Utara,2018,2254.9
Buton Utara,2019,1991.92
Buton Utara,2020,2826.32
Buton Utara,2021,3336.51
Buton Utara,2022,3990.64
Buton Utara,2023,3686.62
Buton Utara,2024,3222.0
Ciamis,2018,2425.84
Ciamis,2019,2340.97
Ciamis,2020,2439.01
Ciamis,2021,2877.35
Ciamis,2022,4380.72
Ciamis,2023,3554.74
Ciamis,2024,3502.0
Cianjur,2018,2275.32
Cianjur,2019,2188.14
Cianjur,2020,2372.22
Cianjur,2021,3053.41
Cianjur,2022,3313.02
Cianjur,2023,3221.33
Cianjur,2024,3373.0
Cilacap,2018,2994.61
Cilacap,2019,2648.7
Cilacap,2020,2701.82
Cilacap,2021,3289.19
Cilacap,2022,4753.7
Cilacap,2023,4363.51
Cilacap,2024,3933.0
Cirebon,2018,2356.21
Cirebon,2019,2425.14
Cirebon,2020,2407.38
Cirebon,2021,2553.98
Cirebon,2022,3709.7
Cirebon,2023,3379.27
Cirebon,2024,3300.0
Dairi,2018,3736.77
Dairi,2019,3833.19
Dairi,2020,3914.76
Dairi,2021,4023.43
Dairi,2022,4965.84
Dairi,2023,4412.8
Dairi,2024,4321.0
Deiyai,2018,4080.16
Deiyai,2019,3212.93
Deiyai,2020,7118.9
Deiyai,2021,4634.17
Deiyai,2022,5213.08
Deiyai,2023,6609.51
Deiyai,2024,3273.0
Deli Serdang,2018,4118.66
Deli Serdang,2019,4412.91
Deli Serdang,2020,4503.29
Deli Serdang,2021,4603.04
Deli Serdang,2022,7136.95
Deli Serdang,2023,5604.53
Deli Serdang,2024,5471.0
Demak,2018,2994.19
Demak,2019,3118.96
Demak,2020,3216.4
Demak,2021,3517.24
Demak,2022,4495.55
Demak,2023,4279.94
Demak,2024,3624.0
Dharmasraya,2018,4948.31
Dharmasraya,2019,4700.81
Dharmasraya,2020,5014.55
Dharmasraya,2021,5562.49
Dharmasraya,2022,7537.44
Dharmasraya,2023,5938.82
Dharmasraya,2024,6320.0
Dogiyai,2018,3440.33
Dogiyai,2019,2910.25
Dogiyai,2020,2696.51
Dogiyai,2021,2881.34
Dogiyai,2022,3340.94
Dogiyai,2023,6694.62
Dogiyai,2024,5730.0
Dompu,2018,2017.71
Dompu,2019,1678.81
Dompu,2020,1970.8
Dompu,2021,2458.19
Dompu,2022,3294.39
Dompu,2023,2895.98
Dompu,2024,3411.0
Donggala,2018,2784.93
Donggala,2019,2869.22
Donggala,2020,3120.7
Donggala,2021,3312.05
Donggala,2022,4458.28
Donggala,2023,3825.01
Donggala,2024,3614.0
Empat Lawang,2018,3228.87
Empat Lawang,2019,2812.22
Empat Lawang,2020,3237.74
Empat Lawang,2021,3131.35
Empat Lawang,2022,4694.78
Empat Lawang,2023,4286.9
Empat Lawang,2024,3381.0
Ende,2018,2999.3
Ende,2019,2956.99
Ende,2020,2981.33
Ende,2021,3188.47
Ende,2022,4332.77
Ende,2023,4427.08
Ende,2024,3639.0
Enrekang,2018,2201.63
Enrekang,2019,1908.0
Enrekang,2020,2428.81
Enrekang,2021,2778.55
Enrekang,2022,3669.45
Enrekang,2023,4291.91
Enrekang,2024,3962.0
Fakfak,2018,3770.55
Fakfak,2019,4081.6
Fakfak,2020,4735.31
Fakfak,2021,5164.82
Fakfak,2022,5974.26
Fakfak,2023,4406.61
Fakfak,2024,5311.0
Flores Timur,2018,2834.18
Flores Timur,2019,3306.15
Flores Timur,2020,3186.7
Flores Timur,2021,2949.45
Flores Timur,2022,4246.37
Flores Timur,2023,3797.71
Flores Timur,2024,3924.0
Garut,2018,3356.3
Garut,2019,2832.59
Garut,2020,3455.39
Garut,2021,3531.56
Garut,2022,3923.75
Garut,2023,3623.65
Garut,2024,3606.0
Gayo Lues,2018,3900.08
Gayo Lues,2019,4301.81
Gayo Lues,2020,4391.22
Gayo Lues,2021,5197.61
Gayo Lues,2022,5382.19
Gayo Lues,2023,4117.55
Gayo Lues,2024,4820.0
Gianyar,2018,2507.65
Gianyar,2019,2661.48
Gianyar,2020,2958.19
Gianyar,2021,3790.32
Gianyar,2022,4586.26
Gianyar,2023,3820.57
Gianyar,2024,4063.0
Gorontalo,2018,2481.17
Gorontalo,2019,2221.1
Gorontalo,2020,2402.69
Gorontalo,2021,3512.27
Gorontalo,2022,4714.12
Gorontalo,2023,4713.78
Gorontalo,2024,4687.0
Gorontalo Utara,2018,2562.9
Gorontalo Utara,2019,2583.93
Gorontalo Utara,2020,2826.87
Gorontalo Utara,2021,4340.35
Gorontalo Utara,2022,5228.84
Gorontalo Utara,2023,5675.88
Gorontalo Utara,2024,5023.0
Gowa,2018,2477.18
Gowa,2019,2029.38
Gowa,2020,2686.13
Gowa,2021,3362.93
Gowa,2022,3906.71
Gowa,2023,3468.72
Gowa,2024,3482.0
Gresik,2018,2788.76
Gresik,2019,3030.91
Gresik,2020,2958.65
Gresik,2021,3618.4
Gresik,2022,5209.51
Gresik,2023,4222.09
Gresik,2024,4404.0
Grobogan,2018,2925.57
Grobogan,2019,2731.86
Grobogan,2020,2800.71
Grobogan,2021,3210.41
Grobogan,2022,4821.84
Grobogan,2023,4276.88
Grobogan,2024,4338.0
Gunung Kidul,2018,3590.96
Gunung Kidul,2019,3247.21
Gunung Kidul,2020,4049.4
Gunung Kidul,2021,4744.37
Gunung Kidul,2022,5025.63
Gunung Kidul,2023,5212.7
Gunung Kidul,2024,4377.0
Gunung Mas,2018,2527.71
Gunung Mas,2019,3233.55
Gunung Mas,2020,2916.03
Gunung Mas,2021,3209.51
Gunung Mas,2022,4525.19
Gunung Mas,2023,4361.65
Gunung Mas,2024,3969.0
Halmahera Barat,2018,4674.61
Halmahera Barat,2019,3614.78
Halmahera Barat,2020,4376.9
Halmahera Barat,2021,4393.59
Halmahera Barat,2022,6232.12
Halmahera Barat,2023,6651.15
Halmahera Barat,2024,5601.0
Halmahera Selatan,2018,4251.86
Halmahera Selatan,2019,4016.94
Halmahera Selatan,2020,4105.1
Halmahera Selatan,2021,4277.28
Halmahera Selatan,2022,6488.33
Halmahera Selatan,2023,6870.76
Halmahera Selatan,2024,5984.0
Halmahera Tengah,2018,4355.36
Halmahera Tengah,2019,4031.68
Halmahera Tengah,2020,4070.92
Halmahera Tengah,2021,3765.02
Halmahera Tengah,2022,5144.09
Halmahera Tengah,2023,6640.65
Halmahera Tengah,2024,6059.0
Halmahera Timur,2018,4609.18
Halmahera Timur,2019,3975.95
Halmahera Timur,2020,4298.05
Halmahera Timur,2021,5076.03
Halmahera Timur,2022,7084.84
Halmahera Timur,2023,6208.75
Halmahera Timur,2024,6062.0
Halmahera Utara,2018,4186.48
Halmahera Utara,2019,3986.37
Halmahera Utara,2020,3765.89
Halmahera Utara,2021,5102.76
Halmahera Utara,2022,6195.74
Halmahera Utara,2023,6183.38
Halmahera Utara,2024,6548.0
Hulu Sungai Selatan,2018,3095.5
Hulu Sungai Selatan,2019,3160.49
Hulu Sungai Selatan,2020,3079.63
Hulu Sungai Selatan,2021,3322.56
Hulu Sungai Selatan,2022,4785.81
Hulu Sungai Selatan,2023,3577.53
Hulu Sungai Selatan,2024,3758.0
Hulu Sungai Tengah,2018,2988.93
Hulu Sungai Tengah,2019,2937.46
Hulu Sungai Tengah,2020,3079.91
Hulu Sungai Tengah,2021,3427.12
Hulu Sungai Tengah,2022,4266.81
Hulu Sungai Tengah,2023,4110.47
Hulu Sungai Tengah,2024,3829.0
Hulu Sungai Utara,2018,2898.75
Hulu Sungai Utara,2019,2541.82
Hulu Sungai Utara,2020,2816.89
Hulu Sungai Utara,2021,3343.88
Hulu Sungai Utara,2022,5283.1
Hulu Sungai Utara,2023,3603.8
Hulu Sungai Utara,2024,3701.0
Humbang Hasundutan,2018,3814.05
Humbang Hasundutan,2019,3753.99
Humbang Hasundutan,2020,4039.42
Humbang Hasundutan,2021,4471.96
Humbang Hasundutan,2022,6193.84
Humbang Hasundutan,2023,5388.9
Humbang Hasundutan,2024,4966.0
Indragiri Hilir,2018,4123.21
Indragiri Hilir,2019,3660.07
Indragiri Hilir,2020,4133.01
Indragiri Hilir,2021,4566.9
Indragiri Hilir,2022,6539.0
Indragiri Hilir,2023,5466.99
Indragiri Hilir,2024,5165.0
Indragiri Hulu,2018,4398.27
Indragiri Hulu,2019,3884.07
Indragiri Hulu,2020,3992.89
Indragiri Hulu,2021,4698.95
Indragiri Hulu,2022,6608.88
Indragiri Hulu,2023,5914.86
Indragiri Hulu,2024,5795.0
Indramayu,2018,2333.68
Indramayu,2019,2481.88
Indramayu,2020,2717.16
Indramayu,2021,3069.1
Indramayu,2022,4245.64
Indramayu,2023,4038.7
Indramayu,2024,3209.0
Intan Jaya,2018,7815.03
Intan Jaya,2019,6330.83
Intan Jaya,2020,8758.94
Intan Jaya,2021,9879.52
Intan Jaya,2022,8286.24
Intan Jaya,2023,19302.17
Intan Jaya,2024,6618.0
Jayapura,2018,3833.76
Jayapura,2019,3707.28
Jayapura,2020,3897.04
Jayapura,2021,4874.69
Jayapura,2022,6461.53
Jayapura,2023,6867.39
Jayapura,2024,4920.0
Jayawijaya,2018,4803.22
Jayawijaya,2019,5586.82
Jayawijaya,2020,7482.98
Jayawijaya,2021,6162.31
Jayawijaya,2022,8430.93
Jayawijaya,2023,7861.76
Jayawijaya,2024,7643.0
Jember,2018,3140.08
Jember,2019,2981.05
Jember,2020,3272.75
Jember,2021,3984.5
Jember,2022,4973.21
Jember,2023,4740.0
Jember,2024,4610.0
