Kabupaten/Kota,Tahun,Persentase Penduduk Miskin
Gowa,2022,7.36
Gowa,2023,7.42
Gowa,2024,6.85
Gresik,2018,11.89
Gresik,2019,11.35
Gresik,2020,12.4
Gresik,2021,12.42
Gresik,2022,11.06
Gresik,2023,10.96
Gresik,2024,10.32
Grobogan,2018,12.31
Grobogan,2019,11.77
Grobogan,2020,12.46
Grobogan,2021,12.74
Grobogan,2022,11.8
Grobogan,2023,11.72
Grobogan,2024,11.43
Gunung Kidul,2018,17.12
Gunung Kidul,2019,16.61
Gunung Kidul,2020,17.07
Gunung Kidul,2021,17.69
Gunung Kidul,2022,15.86
Gunung Kidul,2023,15.6
Gunung Kidul,2024,15.18
Gunung Mas,2018,5.1
Gunung Mas,2019,4.91
Gunung Mas,2020,4.75
Gunung Mas,2021,5.35
Gunung Mas,2022,5.64
Gunung Mas,2023,5.47
Gunung Mas,2024,5.68
Halmahera Barat,2018,8.74
Halmahera Barat,2019,8.59
Halmahera Barat,2020,8.82
Halmahera Barat,2021,8.95
Halmahera Barat,2022,8.43
Halmahera Barat,2023,8.74
Halmahera Barat,2024,8.75
Halmahera Selatan,2018,4.8
Halmahera Selatan,2019,5.03
Halmahera Selatan,2020,5.21
Halmahera Selatan,2021,5.19
Halmahera Selatan,2022,4.99
Halmahera Selatan,2023,5.68
Halmahera Selatan,2024,5.63
Halmahera Tengah,2018,13.94
Halmahera Tengah,2019,14.12
Halmahera Tengah,2020,13.56
Halmahera Tengah,2021,13.52
Halmahera Tengah,2022,12.0
Halmahera Tengah,2023,11.44
Halmahera Tengah,2024,10.71
Halmahera Timur,2018,15.02
Halmahera Timur,2019,15.39
Halmahera Timur,2020,15.45
Halmahera Timur,2021,15.04
Halmahera Timur,2022,13.14
Halmahera Timur,2023,12.47
Halmahera Timur,2024,11.91
Halmahera Utara,2018,4.51
Halmahera Utara,2019,4.55
Halmahera Utara,2020,4.45
Halmahera Utara,2021,5.22
Halmahera Utara,2022,4.58
Halmahera Utara,2023,4.62
Halmahera Utara,2024,4.71
Hulu Sungai Selatan,2018,5.21
Hulu Sungai Selatan,2019,5.33
Hulu Sungai Selatan,2020,5.17
Hulu Sungai Selatan,2021,4.84
Hulu Sungai Selatan,2022,4.54
Hulu Sungai Selatan,2023,4.01
Hulu Sungai Selatan,2024,3.38
Hulu Sungai Tengah,2018,6.01
Hulu Sungai Tengah,2019,5.93
Hulu Sungai Tengah,2020,5.64
Hulu Sungai Tengah,2021,6.18
Hulu Sungai Tengah,2022,5.92
Hulu Sungai Tengah,2023,5.84
Hulu Sungai Tengah,2024,5.81
Hulu Sungai Utara,2018,6.38
Hulu Sungai Utara,2019,6.5
Hulu Sungai Utara,2020,6.14
Hulu Sungai Utara,2021,6.83
Hulu Sungai Utara,2022,6.49
Hulu Sungai Utara,2023,6.25
Hulu Sungai Utara,2024,5.75
Humbang Hasundutan,2018,9.0
Humbang Hasundutan,2019,8.75
Humbang Hasundutan,2020,9.36
