Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minuman
Bolaang Mongondow Selatan,2023,4473.95
Bolaang Mongondow Selatan,2024,4113.0
Bolaang Mongondow Timur,2018,4487.71
Bolaang Mongondow Timur,2019,3697.58
Bolaang Mongondow Timur,2020,4292.97
Bolaang Mongondow Timur,2021,4594.98
Bolaang Mongondow Timur,2022,4886.89
Bolaang Mongondow Timur,2023,4381.31
Bolaang Mongondow Timur,2024,4398.0
Bolaang Mongondow Utara,2018,4162.19
Bolaang Mongondow Utara,2019,3690.45
Bolaang Mongondow Utara,2020,4624.19
Bolaang Mongondow Utara,2021,5575.01
Bolaang Mongondow Utara,2022,4726.01
Bolaang Mongondow Utara,2023,4408.1
Bolaang Mongondow Utara,2024,4316.0
Bombana,2018,3550.28
Bombana,2019,3323.95
Bombana,2020,3974.1
Bombana,2021,3827.64
Bombana,2022,4034.01
Bombana,2023,4189.23
Bombana,2024,4038.0
Bondowoso,2018,3819.08
Bondowoso,2019,3622.85
Bondowoso,2020,4093.4
Bondowoso,2021,4033.75
Bondowoso,2022,3456.88
Bondowoso,2023,3885.8
Bondowoso,2024,4401.0
Bone,2018,2720.25
Bone,2019,3029.47
Bone,2020,3392.11
Bone,2021,3449.38
Bone,2022,3441.1
Bone,2023,3381.44
Bone,2024,3365.0
Bone Bolango,2018,3272.01
Bone Bolango,2019,2884.48
Bone Bolango,2020,3243.3
Bone Bolango,2021,3510.71
Bone Bolango,2022,3301.31
Bone Bolango,2023,3313.99
Bone Bolango,2024,3470.0
Boven Digoel,2018,4428.33
Boven Digoel,2019,5111.23
Boven Digoel,2020,3279.81
Boven Digoel,2021,4131.49
Boven Digoel,2022,4444.77
Boven Digoel,2023,4209.04
Boven Digoel,2024,7242.0
Boyolali,2018,4255.57
Boyolali,2019,4123.39
Boyolali,2020,4606.47
Boyolali,2021,5090.3
Boyolali,2022,4748.55
Boyolali,2023,4961.01
Boyolali,2024,5471.0
Brebes,2018,3578.96
Brebes,2019,3621.71
Brebes,2020,3632.16
Brebes,2021,4286.48
Brebes,2022,4497.84
Brebes,2023,4546.53
Brebes,2024,4465.0
Buleleng,2018,2966.99
Buleleng,2019,2764.77
Buleleng,2020,3036.9
Buleleng,2021,3328.68
Buleleng,2022,3051.15
Buleleng,2023,3260.58
Buleleng,2024,3094.0
Bulukumba,2018,3871.25
Bulukumba,2019,3235.33
Bulukumba,2020,3721.39
Bulukumba,2021,3596.05
Bulukumba,2022,3996.18
Bulukumba,2023,4188.58
Bulukumba,2024,4351.0
Bulungan,2018,5685.04
