Kabupaten/Kota,Tahun,Prevalensi Konsumsi Pangan Tidak Cukup
Bondowoso,2019,11.98
Situbondo,2019,11.18
Probolinggo,2019,10.98
Pasuruan,2019,6.74
Sidoarjo,2019,3.38
Mojokerto,2019,4.03
Jombang,2019,7.41
Nganjuk,2019,12.26
Madiun,2019,9.48
Magetan,2019,8.23
Ngawi,2019,11.46
Bojonegoro,2019,8.36
Tuban,2019,7.21
Lamongan,2019,6.13
Gresik,2019,3.23
Bangkalan,2019,7.04
Sampang,2019,7.08
Pamekasan,2019,9.29
Sumenep,2019,6.17
Kota Kediri,2019,5.87
Kota Blitar,2019,5.16
Kota Malang,2019,4.09
Kota Probolinggo,2019,3.65
Kota Pasuruan,2019,4.88
Kota Mojokerto,2019,4.23
Kota Madiun,2019,4.79
Kota Surabaya,2019,3.09
Kota Batu,2019,4.99
Pandeglang,2019,4.88
Lebak,2019,4.02
Tangerang,2019,1.75
Serang,2019,2.37
Kota Tangerang,2019,1.12
Kota Cilegon,2019,1.31
Kota Serang,2019,1.28
Kota Tangerang Selatan,2019,1.12
Jembrana,2019,4.42
Tabanan,2019,2.97
Badung,2019,1.3
Gianyar,2019,1.21
Klungkung,2019,4.24
Bangli,2019,3.17
Karangasem,2019,5.36
Buleleng,2019,4.21
Kota Denpasar,2019,2.01
Lombok Barat,2019,2.04
Lombok Tengah,2019,3.68
Lombok Timur,2019,3.18
Sumbawa,2019,2.01
Dompu,2019,2.94
Bima,2019,3.72
Sumbawa Barat,2019,1.13
Lombok Utara,2019,4.09
Kota Mataram,2019,0.74
Kota Bima,2019,0.94
Sumba Barat,2019,13.75
Sumba Timur,2019,11.32
Kupang,2019,17.71
Timor Tengah Selatan,2019,13.94
Timor Tengah Utara,2019,14.42
Belu,2019,14.69
Alor,2019,15.54
Lembata,2019,21.82
Flores Timur,2019,15.7
Sikka,2019,17.14
Ende,2019,15.28
Ngada,2019,8.54
Manggarai,2019,9.79
Rote Ndao,2019,20.65
Manggarai Barat,2019,8.51
Sumba Tengah,2019,10.76
Sumba Barat Daya,2019,11.75
Nagekeo,2019,15.33
Manggarai Timur,2019,12.63
Sabu Raijua,2019,11.78
Malaka,2019,15.55
Kota Kupang,2019,14.07
Sambas,2019,21.21
Bengkayang,2019,20.67
Landak,2019,22.76
Mempawah,2019,21.54
Sanggau,2019,25.16
Ketapang,2019,16.98
Sintang,2019,21.72
Kapuas Hulu,2019,21.68
Sekadau,2019,24.41
Melawi,2019,26.88
Kayong Utara,2019,17.12
Kubu Raya,2019,18.43
Kota Pontianak,2019,8.41
Kota Singkawang,2019,9.13
Kotawaringin Barat,2019,6.82
Kotawaringin Timur,2019,8.54
Kapuas,2019,16.46
Barito Selatan,2019,11.23
Barito Utara,2019,10.67
Sukamara,2019,7.66
Lamandau,2019,5.31
Seruyan,2019,8.35
Katingan,2019,7.3
Pulang Pisau,2019,11.67
Gunung Mas,2019,5.47
Barito Timur,2019,13.35
Murung Raya,2019,8.41
Kota Palangka Raya,2019,6.29
Tanah Laut,2019,2.75
Kota Baru,2019,2.05
Banjar,2019,2.78
Barito Kuala,2019,3.68
Tapin,2019,2.52
Hulu Sungai Selatan,2019,4.17
Hulu Sungai Tengah,2019,4.34
Hulu Sungai Utara,2019,3.83
Tabalong,2019,2.32
Tanah Bumbu,2019,1.5
Balangan,2019,3.35
Kota Banjarmasin,2019,1.22
Kota Banjar Baru,2019,1.07
Paser,2019,10.1
Kutai Barat,2019,9.24
Kutai Kartanegara,2019,9.34
Kutai Timur,2019,6.78
Berau,2019,5.24
Penajam Paser Utara,2019,10.08
Mahakam Ulu,2019,5.48
Kota Balikpapan,2019,4.94
Kota Samarinda,2019,5.45
Kota Bontang,2019,5.02
Malinau,2019,11.28
Bulungan,2019,10.1
Tana Tidung,2019,12.01
Nunukan,2019,12.62
Kota Tarakan,2019,7.68
Bolaang Mongondow,2019,3.5
Minahasa,2019,4.14
Kepulauan Sangihe,2019,6.41
Kepulauan Talaud,2019,5.74
Minahasa Selatan,2019,6.13
Minahasa Utara,2019,3.79
Bolaang Mongondow Utara,2019,5.85
Siau Tagulandang Biaro,2019,5.77
Minahasa Tenggara,2019,6.32
Bolaang Mongondow Selatan,2019,4.62
Bolaang Mongondow Timur,2019,4.61
Kota Manado,2019,2.34
Kota Bitung,2019,2.81
Kota Tomohon,2019,2.22
Kota Kotamobagu,2019,1.74
Banggai Kepulauan,2019,13.17
Banggai,2019,8.78
Morowali,2019,4.63
Poso,2019,6.52
Donggala,2019,10.01
Toli-Toli,2019,9.5
Buol,2019,8.36
Parigi Moutong,2019,10.62
Tojo Una-Una,2019,8.62
Sigi,2019,9.7
Banggai Laut,2019,9.3
Morowali Utara,2019,7.95
Kota Palu,2019,2.78
Kepulauan Selayar,2019,6.85
Bulukumba,2019,11.48
Bantaeng,2019,8.98
Jeneponto,2019,12.46
Takalar,2019,10.7
Gowa,2019,7.81
Sinjai,2019,9.5
Maros,2019,6.16
Pangkajene dan Kepulauan,2019,6.35
Barru,2019,10.38
Bone,2019,11.77
Soppeng,2019,12.51
Wajo,2019,8.64
Sidenreng Rappang,2019,5.53
Pinrang,2019,7.09
Enrekang,2019,11.2
Luwu,2019,6.93
Tana Toraja,2019,8.04
Luwu Utara,2019,8.69
Luwu Timur,2019,6.3
Toraja Utara,2019,7.37
