Kabupaten/Kota,Tahun,Pengeluaran Perkapita Rokok dan Tembakau
Hulu Sungai Utara,2021,11530.11
Hulu Sungai Utara,2022,12623.26
Hulu Sungai Utara,2023,13935.02
Hulu Sungai Utara,2024,12612.0
Humbang Hasundutan,2018,16751.36
Humbang Hasundutan,2019,16271.79
Humbang Hasundutan,2020,19777.91
Humbang Hasundutan,2021,20798.68
Humbang Hasundutan,2022,22231.94
Humbang Hasundutan,2023,23383.38
Humbang Hasundutan,2024,23584.0
Indragiri Hilir,2018,13959.49
Indragiri Hilir,2019,18781.8
Indragiri Hilir,2020,16152.44
Indragiri Hilir,2021,19466.63
Indragiri Hilir,2022,19169.43
Indragiri Hilir,2023,20123.26
Indragiri Hilir,2024,22302.0
Indragiri Hulu,2018,17259.39
Indragiri Hulu,2019,20959.17
Indragiri Hulu,2020,19492.49
Indragiri Hulu,2021,21522.31
Indragiri Hulu,2022,21923.93
Indragiri Hulu,2023,27572.1
Indragiri Hulu,2024,29330.0
Indramayu,2018,18838.57
Indramayu,2019,20250.99
Indramayu,2020,21482.3
Indramayu,2021,23268.07
Indramayu,2022,26615.4
Indramayu,2023,29616.95
Indramayu,2024,29404.0
Intan Jaya,2018,9643.06
Intan Jaya,2019,6567.36
Intan Jaya,2020,12629.39
Intan Jaya,2021,9433.77
Intan Jaya,2022,3860.34
Intan Jaya,2023,21757.38
Intan Jaya,2024,30172.0
Jayapura,2018,12668.83
Jayapura,2019,18167.88
Jayapura,2020,15824.96
Jayapura,2021,21121.68
Jayapura,2022,20167.41
Jayapura,2023,39775.63
Jayapura,2024,19813.0
Jayawijaya,2018,18520.79
Jayawijaya,2019,16796.24
Jayawijaya,2020,25014.19
Jayawijaya,2021,13767.94
Jayawijaya,2022,20279.0
Jayawijaya,2023,16182.87
Jayawijaya,2024,20456.0
Jember,2018,10822.8
Jember,2019,13231.4
Jember,2020,13506.2
Jember,2021,12762.48
Jember,2022,14242.71
Jember,2023,16625.09
Jember,2024,16995.0
Jembrana,2018,12843.75
Jembrana,2019,14185.61
Jembrana,2020,13882.95
Jembrana,2021,14990.82
Jembrana,2022,15716.72
Jembrana,2023,15962.99
Jembrana,2024,17533.0
Jeneponto,2018,12537.63
Jeneponto,2019,13218.81
Jeneponto,2020,12786.11
Jeneponto,2021,15809.12
Jeneponto,2022,15529.05
Jeneponto,2023,16885.88
Jeneponto,2024,17490.0
Jepara,2018,10677.71
Jepara,2019,11344.77
